id,severity_type,sort,revsort,cumsort
16586,1,63,7,0.9
8796,1,64,6,0.914285714285714
6954,2,65,5,0.928571428571429
17648,2,66,4,0.942857142857143
1849,2,67,3,0.957142857142857
16949,2,68,2,0.971428571428571
14593,2,69,1,0.985714285714286
12587,2,1,3,0.25
2240,1,2,2,0.5
5356,1,3,1,0.75
1285,2,1,37,0.0263157894736842
17155,1,2,36,0.0526315789473684
1308,2,3,35,0.0789473684210526
3251,2,4,34,0.105263157894737
9313,1,5,33,0.131578947368421
14926,2,6,32,0.157894736842105
17407,2,7,31,0.184210526315789
6395,2,8,30,0.210526315789474
16600,2,9,29,0.236842105263158
137,2,10,28,0.263157894736842
17255,2,11,27,0.289473684210526
8443,2,12,26,0.315789473684211
9291,2,13,25,0.342105263157895
1821,2,14,24,0.368421052631579
13270,2,15,23,0.394736842105263
18500,2,16,22,0.421052631578947
8774,4,17,21,0.447368421052632
1243,2,18,20,0.473684210526316
6474,2,19,19,0.5
15687,2,20,18,0.526315789473684
16351,2,21,17,0.552631578947368
5163,2,22,16,0.578947368421053
12650,4,23,15,0.605263157894737
7116,2,24,14,0.631578947368421
18189,2,25,13,0.657894736842105
2653,4,26,12,0.684210526315789
3331,2,27,11,0.710526315789474
3375,2,28,10,0.736842105263158
16056,2,29,9,0.763157894736842
14969,2,30,8,0.789473684210526
12825,2,31,7,0.815789473684211
6176,2,32,6,0.842105263157895
15850,2,33,5,0.868421052631579
10825,2,34,4,0.894736842105263
16628,2,35,3,0.921052631578947
3446,2,36,2,0.947368421052632
8716,1,37,1,0.973684210526316
14963,1,1,4,0.2
12318,2,2,3,0.4
18076,1,3,2,0.6
11833,1,4,1,0.8
402,1,1,3,0.25
1288,1,2,2,0.5
16595,1,3,1,0.75
18413,1,1,2,0.333333333333333
9859,1,2,1,0.666666666666667
2578,1,1,2,0.333333333333333
1204,1,2,1,0.666666666666667
4497,1,1,1,0.5
37,1,1,2,0.333333333333333
3629,1,2,1,0.666666666666667
16795,2,1,11,0.0833333333333333
16106,1,2,10,0.166666666666667
8185,1,3,9,0.25
8235,1,4,8,0.333333333333333
14315,1,5,7,0.416666666666667
17756,1,6,6,0.5
14562,1,7,5,0.583333333333333
8930,1,8,4,0.666666666666667
11231,1,9,3,0.75
17812,2,10,2,0.833333333333333
3112,2,11,1,0.916666666666667
6253,2,1,47,0.0208333333333333
187,1,2,46,0.0416666666666667
10816,1,3,45,0.0625
2008,1,4,44,0.0833333333333333
10445,1,5,43,0.104166666666667
258,1,6,42,0.125
15834,2,7,41,0.145833333333333
12334,1,8,40,0.166666666666667
9644,1,9,39,0.1875
14743,1,10,38,0.208333333333333
6208,1,11,37,0.229166666666667
6802,2,12,36,0.25
14860,1,13,35,0.270833333333333
14899,1,14,34,0.291666666666667
581,2,15,33,0.3125
10985,2,16,32,0.333333333333333
11010,1,17,31,0.354166666666667
722,1,18,30,0.375
1747,1,19,29,0.395833333333333
1349,2,20,28,0.416666666666667
11444,1,21,27,0.4375
16517,1,22,26,0.458333333333333
16202,1,23,25,0.479166666666667
12511,1,24,24,0.5
15171,1,25,23,0.520833333333333
3879,1,26,22,0.541666666666667
1863,1,27,21,0.5625
5142,1,28,20,0.583333333333333
6796,1,29,19,0.604166666666667
13838,1,30,18,0.625
10913,1,31,17,0.645833333333333
6880,1,32,16,0.666666666666667
685,1,33,15,0.6875
10680,1,34,14,0.708333333333333
13845,1,35,13,0.729166666666667
17736,2,36,12,0.75
10319,2,37,11,0.770833333333333
10970,1,38,10,0.791666666666667
13652,2,39,9,0.8125
10161,1,40,8,0.833333333333333
725,1,41,7,0.854166666666667
5074,2,42,6,0.875
5924,1,43,5,0.895833333333333
10516,1,44,4,0.916666666666667
6883,1,45,3,0.9375
5545,1,46,2,0.958333333333333
14433,1,47,1,0.979166666666667
18058,2,1,162,0.00613496932515337
5834,1,2,161,0.0122699386503067
4630,2,3,160,0.0184049079754601
17414,2,4,159,0.0245398773006135
6244,1,5,158,0.0306748466257669
3158,2,6,157,0.0368098159509202
16320,2,7,156,0.0429447852760736
3465,2,8,155,0.049079754601227
13490,2,9,154,0.0552147239263804
4628,2,10,153,0.0613496932515337
4029,2,11,152,0.0674846625766871
15057,2,12,151,0.0736196319018405
13522,2,13,150,0.0797546012269939
5254,1,14,149,0.0858895705521472
14991,1,15,148,0.0920245398773006
2810,2,16,147,0.098159509202454
5025,2,17,146,0.104294478527607
14112,2,18,145,0.110429447852761
5352,1,19,144,0.116564417177914
7049,1,20,143,0.122699386503067
17758,2,21,142,0.128834355828221
11766,1,22,141,0.134969325153374
1574,1,23,140,0.141104294478528
7237,1,24,139,0.147239263803681
10902,1,25,138,0.153374233128834
9016,2,26,137,0.159509202453988
13955,1,27,136,0.165644171779141
11005,1,28,135,0.171779141104294
16584,1,29,134,0.177914110429448
8277,2,30,133,0.184049079754601
15081,1,31,132,0.190184049079755
18220,1,32,131,0.196319018404908
4595,2,33,130,0.202453987730061
1666,2,34,129,0.208588957055215
7585,2,35,128,0.214723926380368
4309,2,36,127,0.220858895705521
16809,2,37,126,0.226993865030675
2385,1,38,125,0.233128834355828
16139,1,39,124,0.239263803680982
7077,2,40,123,0.245398773006135
11828,1,41,122,0.251533742331288
2774,2,42,121,0.257668711656442
11037,2,43,120,0.263803680981595
11464,1,44,119,0.269938650306748
15801,1,45,118,0.276073619631902
12847,2,46,117,0.282208588957055
4002,1,47,116,0.288343558282209
11100,2,48,115,0.294478527607362
10511,2,49,114,0.300613496932515
14706,1,50,113,0.306748466257669
462,1,51,112,0.312883435582822
7885,2,52,111,0.319018404907975
12276,2,53,110,0.325153374233129
10402,1,54,109,0.331288343558282
3412,2,55,108,0.337423312883436
6860,2,56,107,0.343558282208589
11114,2,57,106,0.349693251533742
9907,2,58,105,0.355828220858896
4121,2,59,104,0.361963190184049
10493,1,60,103,0.368098159509202
11770,1,61,102,0.374233128834356
965,1,62,101,0.380368098159509
18004,2,63,100,0.386503067484663
5928,1,64,99,0.392638036809816
7405,1,65,98,0.398773006134969
6803,2,66,97,0.404907975460123
8764,2,67,96,0.411042944785276
7925,1,68,95,0.417177914110429
12798,2,69,94,0.423312883435583
11394,2,70,93,0.429447852760736
17869,2,71,92,0.43558282208589
10129,2,72,91,0.441717791411043
13354,2,73,90,0.447852760736196
16917,2,74,89,0.45398773006135
17425,1,75,88,0.460122699386503
18486,1,76,87,0.466257668711656
6909,2,77,86,0.47239263803681
12026,2,78,85,0.478527607361963
16064,2,79,84,0.484662576687117
11119,2,80,83,0.49079754601227
8378,1,81,82,0.496932515337423
894,2,82,81,0.503067484662577
6648,2,83,80,0.50920245398773
372,1,84,79,0.515337423312883
17066,2,85,78,0.521472392638037
821,2,86,77,0.52760736196319
608,2,87,76,0.533742331288344
4535,2,88,75,0.539877300613497
4640,2,89,74,0.54601226993865
18296,2,90,73,0.552147239263804
6904,2,91,72,0.558282208588957
5059,2,92,71,0.56441717791411
15102,2,93,70,0.570552147239264
11286,2,94,69,0.576687116564417
13438,1,95,68,0.582822085889571
7851,2,96,67,0.588957055214724
16336,2,97,66,0.595092024539877
17470,2,98,65,0.601226993865031
8388,2,99,64,0.607361963190184
4141,2,100,63,0.613496932515337
4163,2,101,62,0.619631901840491
13077,2,102,61,0.625766871165644
15343,2,103,60,0.631901840490798
6475,1,104,59,0.638036809815951
12214,2,105,58,0.644171779141104
6623,2,106,57,0.650306748466258
1551,2,107,56,0.656441717791411
13260,2,108,55,0.662576687116564
12932,2,109,54,0.668711656441718
4556,2,110,53,0.674846625766871
8556,2,111,52,0.680981595092024
14449,2,112,51,0.687116564417178
18376,2,113,50,0.693251533742331
17745,2,114,49,0.699386503067485
17963,2,115,48,0.705521472392638
10014,2,116,47,0.711656441717791
9879,2,117,46,0.717791411042945
1718,2,118,45,0.723926380368098
13376,1,119,44,0.730061349693252
17645,2,120,43,0.736196319018405
2214,2,121,42,0.742331288343558
12194,2,122,41,0.748466257668712
12607,2,123,40,0.754601226993865
378,2,124,39,0.760736196319018
14616,2,125,38,0.766871165644172
1326,2,126,37,0.773006134969325
15085,2,127,36,0.779141104294479
6339,2,128,35,0.785276073619632
4151,2,129,34,0.791411042944785
17950,2,130,33,0.797546012269939
15427,2,131,32,0.803680981595092
200,2,132,31,0.809815950920245
18050,2,133,30,0.815950920245399
3547,2,134,29,0.822085889570552
15192,2,135,28,0.828220858895706
13832,2,136,27,0.834355828220859
2467,2,137,26,0.840490797546012
6369,2,138,25,0.846625766871166
12887,1,139,24,0.852760736196319
8366,2,140,23,0.858895705521472
2425,1,141,22,0.865030674846626
8106,1,142,21,0.871165644171779
12935,2,143,20,0.877300613496933
4623,2,144,19,0.883435582822086
222,2,145,18,0.889570552147239
9059,2,146,17,0.895705521472393
15381,2,147,16,0.901840490797546
13154,1,148,15,0.907975460122699
665,2,149,14,0.914110429447853
10110,2,150,13,0.920245398773006
1716,2,151,12,0.926380368098159
3951,2,152,11,0.932515337423313
17731,2,153,10,0.938650306748466
16403,2,154,9,0.94478527607362
8501,2,155,8,0.950920245398773
15362,2,156,7,0.957055214723926
9870,2,157,6,0.96319018404908
8831,2,158,5,0.969325153374233
5961,2,159,4,0.975460122699387
9364,2,160,3,0.98159509202454
18490,2,161,2,0.987730061349693
9088,1,162,1,0.993865030674847
2865,1,1,6,0.142857142857143
16514,5,2,5,0.285714285714286
18077,1,3,4,0.428571428571429
14,5,4,3,0.571428571428571
13453,1,5,2,0.714285714285714
12828,1,6,1,0.857142857142857
6359,2,1,3,0.25
5881,2,2,2,0.5
13337,2,3,1,0.75
14986,2,1,45,0.0217391304347826
12978,1,2,44,0.0434782608695652
1553,1,3,43,0.0652173913043478
487,1,4,42,0.0869565217391304
5559,1,5,41,0.108695652173913
8037,1,6,40,0.130434782608696
5027,1,7,39,0.152173913043478
15133,1,8,38,0.173913043478261
5068,1,9,37,0.195652173913043
11826,1,10,36,0.217391304347826
7409,1,11,35,0.239130434782609
13614,1,12,34,0.260869565217391
11313,1,13,33,0.282608695652174
8573,1,14,32,0.304347826086957
15618,1,15,31,0.326086956521739
8730,1,16,30,0.347826086956522
2841,1,17,29,0.369565217391304
8263,2,18,28,0.391304347826087
8193,1,19,27,0.41304347826087
5821,1,20,26,0.434782608695652
14864,1,21,25,0.456521739130435
7818,1,22,24,0.478260869565217
6636,1,23,23,0.5
3113,2,24,22,0.521739130434783
15555,2,25,21,0.543478260869565
15974,1,26,20,0.565217391304348
13273,2,27,19,0.58695652173913
10465,1,28,18,0.608695652173913
1491,1,29,17,0.630434782608696
7546,1,30,16,0.652173913043478
8854,1,31,15,0.673913043478261
14462,1,32,14,0.695652173913043
2734,1,33,13,0.717391304347826
6446,1,34,12,0.739130434782609
11239,1,35,11,0.760869565217391
6193,2,36,10,0.782608695652174
3765,2,37,9,0.804347826086957
12944,2,38,8,0.826086956521739
4302,2,39,7,0.847826086956522
16468,2,40,6,0.869565217391304
12624,2,41,5,0.891304347826087
17530,1,42,4,0.91304347826087
7503,1,43,3,0.934782608695652
6457,1,44,2,0.956521739130435
16725,1,45,1,0.978260869565217
5029,1,1,18,0.0526315789473684
16681,1,2,17,0.105263157894737
11843,1,3,16,0.157894736842105
6231,1,4,15,0.210526315789474
15803,1,5,14,0.263157894736842
13480,1,6,13,0.315789473684211
11928,1,7,12,0.368421052631579
8963,1,8,11,0.421052631578947
10844,1,9,10,0.473684210526316
13067,1,10,9,0.526315789473684
9769,1,11,8,0.578947368421053
15970,1,12,7,0.631578947368421
6715,1,13,6,0.684210526315789
5206,5,14,5,0.736842105263158
16675,1,15,4,0.789473684210526
5468,1,16,3,0.842105263157895
2854,5,17,2,0.894736842105263
8225,1,18,1,0.947368421052632
15497,2,1,2,0.333333333333333
10940,1,2,1,0.666666666666667
8120,2,1,7,0.125
15689,1,2,6,0.25
5597,1,3,5,0.375
4315,2,4,4,0.5
11976,1,5,3,0.625
268,1,6,2,0.75
11609,2,7,1,0.875
15967,1,1,30,0.032258064516129
2184,1,2,29,0.0645161290322581
17071,4,3,28,0.0967741935483871
13185,1,4,27,0.129032258064516
17329,1,5,26,0.161290322580645
9509,1,6,25,0.193548387096774
587,1,7,24,0.225806451612903
14586,1,8,23,0.258064516129032
3967,1,9,22,0.290322580645161
4941,2,10,21,0.32258064516129
16781,1,11,20,0.354838709677419
15684,1,12,19,0.387096774193548
525,1,13,18,0.419354838709677
17856,1,14,17,0.451612903225806
6932,1,15,16,0.483870967741935
9787,1,16,15,0.516129032258065
4740,1,17,14,0.548387096774194
4053,1,18,13,0.580645161290323
6376,1,19,12,0.612903225806452
13330,1,20,11,0.645161290322581
8036,1,21,10,0.67741935483871
3895,1,22,9,0.709677419354839
333,1,23,8,0.741935483870968
16024,1,24,7,0.774193548387097
10696,1,25,6,0.806451612903226
17505,1,26,5,0.838709677419355
4045,1,27,4,0.870967741935484
18399,1,28,3,0.903225806451613
11874,1,29,2,0.935483870967742
17062,1,30,1,0.967741935483871
8042,1,1,38,0.0256410256410256
11725,1,2,37,0.0512820512820513
750,1,3,36,0.0769230769230769
7315,1,4,35,0.102564102564103
16339,1,5,34,0.128205128205128
2212,1,6,33,0.153846153846154
7545,1,7,32,0.179487179487179
14767,1,8,31,0.205128205128205
5282,1,9,30,0.230769230769231
12389,1,10,29,0.256410256410256
1380,1,11,28,0.282051282051282
10409,1,12,27,0.307692307692308
10658,1,13,26,0.333333333333333
6144,2,14,25,0.358974358974359
10370,1,15,24,0.384615384615385
17852,1,16,23,0.41025641025641
5032,1,17,22,0.435897435897436
5370,1,18,21,0.461538461538462
12273,1,19,20,0.487179487179487
1998,1,20,19,0.512820512820513
17379,1,21,18,0.538461538461538
252,1,22,17,0.564102564102564
14875,1,23,16,0.58974358974359
6834,1,24,15,0.615384615384615
9158,1,25,14,0.641025641025641
8694,1,26,13,0.666666666666667
7348,1,27,12,0.692307692307692
12661,1,28,11,0.717948717948718
7171,1,29,10,0.743589743589744
4733,1,30,9,0.769230769230769
1931,1,31,8,0.794871794871795
14047,2,32,7,0.82051282051282
611,1,33,6,0.846153846153846
9354,2,34,5,0.871794871794872
15287,2,35,4,0.897435897435897
13403,1,36,3,0.923076923076923
982,4,37,2,0.948717948717949
8581,4,38,1,0.974358974358974
7504,1,1,3,0.25
17653,1,2,2,0.5
2741,1,3,1,0.75
10977,1,1,25,0.0384615384615385
8359,1,2,24,0.0769230769230769
7385,1,3,23,0.115384615384615
8467,1,4,22,0.153846153846154
11740,1,5,21,0.192307692307692
9778,1,6,20,0.230769230769231
15626,1,7,19,0.269230769230769
3949,1,8,18,0.307692307692308
3663,4,9,17,0.346153846153846
17209,1,10,16,0.384615384615385
400,1,11,15,0.423076923076923
4861,1,12,14,0.461538461538462
805,1,13,13,0.5
11989,1,14,12,0.538461538461538
748,1,15,11,0.576923076923077
10508,1,16,10,0.615384615384615
5977,1,17,9,0.653846153846154
2090,2,18,8,0.692307692307692
5257,1,19,7,0.730769230769231
8159,1,20,6,0.769230769230769
1135,1,21,5,0.807692307692308
6679,1,22,4,0.846153846153846
6313,1,23,3,0.884615384615385
1231,1,24,2,0.923076923076923
1706,4,25,1,0.961538461538462
16741,2,1,67,0.0147058823529412
4629,1,2,66,0.0294117647058824
3491,1,3,65,0.0441176470588235
9852,2,4,64,0.0588235294117647
10293,1,5,63,0.0735294117647059
9596,1,6,62,0.0882352941176471
5300,1,7,61,0.102941176470588
15871,1,8,60,0.117647058823529
1566,1,9,59,0.132352941176471
4254,1,10,58,0.147058823529412
2652,1,11,57,0.161764705882353
484,1,12,56,0.176470588235294
1588,1,13,55,0.191176470588235
10561,1,14,54,0.205882352941176
7174,2,15,53,0.220588235294118
12209,2,16,52,0.235294117647059
17627,1,17,51,0.25
3701,1,18,50,0.264705882352941
15517,1,19,49,0.279411764705882
16136,1,20,48,0.294117647058824
9720,1,21,47,0.308823529411765
5184,1,22,46,0.323529411764706
11581,1,23,45,0.338235294117647
6327,1,24,44,0.352941176470588
16645,1,25,43,0.367647058823529
1704,1,26,42,0.382352941176471
4279,1,27,41,0.397058823529412
12527,1,28,40,0.411764705882353
47,1,29,39,0.426470588235294
5617,1,30,38,0.441176470588235
8530,1,31,37,0.455882352941176
11653,1,32,36,0.470588235294118
13920,1,33,35,0.485294117647059
3191,1,34,34,0.5
6439,1,35,33,0.514705882352941
15350,2,36,32,0.529411764705882
5512,2,37,31,0.544117647058823
16346,1,38,30,0.558823529411765
12308,1,39,29,0.573529411764706
14668,2,40,28,0.588235294117647
16441,1,41,27,0.602941176470588
16562,1,42,26,0.617647058823529
9919,1,43,25,0.632352941176471
12731,1,44,24,0.647058823529412
17525,1,45,23,0.661764705882353
2829,1,46,22,0.676470588235294
13065,1,47,21,0.691176470588235
13888,2,48,20,0.705882352941177
2067,1,49,19,0.720588235294118
17949,1,50,18,0.735294117647059
886,1,51,17,0.75
18120,2,52,16,0.764705882352941
17434,1,53,15,0.779411764705882
4884,1,54,14,0.794117647058823
7017,2,55,13,0.808823529411765
18407,2,56,12,0.823529411764706
17867,1,57,11,0.838235294117647
17134,2,58,10,0.852941176470588
14131,1,59,9,0.867647058823529
6517,1,60,8,0.882352941176471
10666,1,61,7,0.897058823529412
14592,1,62,6,0.911764705882353
8759,2,63,5,0.926470588235294
7878,1,64,4,0.941176470588235
13792,2,65,3,0.955882352941177
17833,1,66,2,0.970588235294118
14360,2,67,1,0.985294117647059
4591,2,1,148,0.00671140939597315
16142,1,2,147,0.0134228187919463
628,2,3,146,0.0201342281879195
893,1,4,145,0.0268456375838926
11341,2,5,144,0.0335570469798658
6581,2,6,143,0.0402684563758389
13606,2,7,142,0.0469798657718121
10407,2,8,141,0.0536912751677852
17931,2,9,140,0.0604026845637584
6564,2,10,139,0.0671140939597315
9848,2,11,138,0.0738255033557047
9598,1,12,137,0.0805369127516778
12282,1,13,136,0.087248322147651
15099,2,14,135,0.0939597315436242
11207,1,15,134,0.100671140939597
6160,2,16,133,0.10738255033557
12569,1,17,132,0.114093959731544
10492,2,18,131,0.120805369127517
1126,1,19,130,0.12751677852349
3684,1,20,129,0.134228187919463
11968,1,21,128,0.140939597315436
9372,1,22,127,0.147651006711409
1477,2,23,126,0.154362416107383
14661,1,24,125,0.161073825503356
14997,2,25,124,0.167785234899329
2322,1,26,123,0.174496644295302
7354,1,27,122,0.181208053691275
11981,2,28,121,0.187919463087248
7279,1,29,120,0.194630872483221
386,1,30,119,0.201342281879195
7835,1,31,118,0.208053691275168
12590,1,32,117,0.214765100671141
4092,1,33,116,0.221476510067114
14100,2,34,115,0.228187919463087
9722,2,35,114,0.23489932885906
12495,2,36,113,0.241610738255034
12227,1,37,112,0.248322147651007
5693,2,38,111,0.25503355704698
13688,2,39,110,0.261744966442953
17825,2,40,109,0.268456375838926
11878,2,41,108,0.275167785234899
13552,1,42,107,0.281879194630872
10520,1,43,106,0.288590604026846
10137,1,44,105,0.295302013422819
855,1,45,104,0.302013422818792
17557,2,46,103,0.308724832214765
3667,2,47,102,0.315436241610738
11352,1,48,101,0.322147651006711
13408,2,49,100,0.328859060402685
5178,2,50,99,0.335570469798658
7372,1,51,98,0.342281879194631
5784,1,52,97,0.348993288590604
4047,2,53,96,0.355704697986577
11367,2,54,95,0.36241610738255
17801,2,55,94,0.369127516778524
460,2,56,93,0.375838926174497
12790,2,57,92,0.38255033557047
2999,2,58,91,0.389261744966443
5476,2,59,90,0.395973154362416
17540,1,60,89,0.402684563758389
8880,2,61,88,0.409395973154362
13391,1,62,87,0.416107382550336
12112,2,63,86,0.422818791946309
10676,2,64,85,0.429530201342282
11133,2,65,84,0.436241610738255
1508,2,66,83,0.442953020134228
375,1,67,82,0.449664429530201
12473,2,68,81,0.456375838926175
3692,2,69,80,0.463087248322148
14557,1,70,79,0.469798657718121
17724,1,71,78,0.476510067114094
8673,2,72,77,0.483221476510067
18253,2,73,76,0.48993288590604
595,2,74,75,0.496644295302013
6565,2,75,74,0.503355704697987
17749,2,76,73,0.51006711409396
10783,2,77,72,0.516778523489933
2216,2,78,71,0.523489932885906
15716,2,79,70,0.530201342281879
18116,1,80,69,0.536912751677852
10572,2,81,68,0.543624161073825
8234,2,82,67,0.550335570469799
11189,1,83,66,0.557046979865772
11895,1,84,65,0.563758389261745
4658,1,85,64,0.570469798657718
4674,2,86,63,0.577181208053691
2991,2,87,62,0.583892617449664
6747,2,88,61,0.590604026845638
3052,2,89,60,0.597315436241611
6990,2,90,59,0.604026845637584
5439,1,91,58,0.610738255033557
13612,1,92,57,0.61744966442953
8173,2,93,56,0.624161073825503
6902,2,94,55,0.630872483221476
18176,1,95,54,0.63758389261745
11790,1,96,53,0.644295302013423
15693,1,97,52,0.651006711409396
5320,1,98,51,0.657718120805369
3877,2,99,50,0.664429530201342
13361,1,100,49,0.671140939597315
15072,2,101,48,0.677852348993289
9280,2,102,47,0.684563758389262
3789,2,103,46,0.691275167785235
14664,1,104,45,0.697986577181208
14647,1,105,44,0.704697986577181
9980,2,106,43,0.711409395973154
1382,2,107,42,0.718120805369127
16456,2,108,41,0.724832214765101
13078,2,109,40,0.731543624161074
7360,2,110,39,0.738255033557047
1493,2,111,38,0.74496644295302
5731,2,112,37,0.751677852348993
10329,1,113,36,0.758389261744966
267,2,114,35,0.76510067114094
14087,2,115,34,0.771812080536913
13440,1,116,33,0.778523489932886
11758,2,117,32,0.785234899328859
14439,1,118,31,0.791946308724832
8355,2,119,30,0.798657718120805
11357,2,120,29,0.805369127516778
17017,2,121,28,0.812080536912752
5304,2,122,27,0.818791946308725
10803,2,123,26,0.825503355704698
17568,2,124,25,0.832214765100671
4620,2,125,24,0.838926174496644
12275,2,126,23,0.845637583892617
7146,2,127,22,0.852348993288591
11896,2,128,21,0.859060402684564
10403,2,129,20,0.865771812080537
45,2,130,19,0.87248322147651
9928,2,131,18,0.879194630872483
2091,2,132,17,0.885906040268456
12939,2,133,16,0.89261744966443
16012,1,134,15,0.899328859060403
1368,2,135,14,0.906040268456376
10790,1,136,13,0.912751677852349
9911,2,137,12,0.919463087248322
14907,2,138,11,0.926174496644295
6638,2,139,10,0.932885906040268
10857,2,140,9,0.939597315436242
4470,1,141,8,0.946308724832215
15434,1,142,7,0.953020134228188
7667,2,143,6,0.959731543624161
3327,2,144,5,0.966442953020134
12278,2,145,4,0.973154362416107
6267,2,146,3,0.979865771812081
17581,2,147,2,0.986577181208054
8269,2,148,1,0.993288590604027
7055,2,1,109,0.00909090909090909
14032,2,2,108,0.0181818181818182
13543,2,3,107,0.0272727272727273
13341,2,4,106,0.0363636363636364
17440,2,5,105,0.0454545454545455
6379,2,6,104,0.0545454545454545
7864,2,7,103,0.0636363636363636
10047,1,8,102,0.0727272727272727
6837,2,9,101,0.0818181818181818
8007,2,10,100,0.0909090909090909
6931,2,11,99,0.1
5846,2,12,98,0.109090909090909
11038,2,13,97,0.118181818181818
10687,2,14,96,0.127272727272727
7866,2,15,95,0.136363636363636
3881,2,16,94,0.145454545454545
12143,2,17,93,0.154545454545455
3066,2,18,92,0.163636363636364
6689,2,19,91,0.172727272727273
6387,2,20,90,0.181818181818182
11651,2,21,89,0.190909090909091
3864,2,22,88,0.2
9441,2,23,87,0.209090909090909
15640,2,24,86,0.218181818181818
13801,2,25,85,0.227272727272727
12836,2,26,84,0.236363636363636
10058,2,27,83,0.245454545454545
14839,2,28,82,0.254545454545455
1810,2,29,81,0.263636363636364
15538,2,30,80,0.272727272727273
4217,2,31,79,0.281818181818182
6838,2,32,78,0.290909090909091
8619,2,33,77,0.3
5714,2,34,76,0.309090909090909
7137,2,35,75,0.318181818181818
10001,2,36,74,0.327272727272727
5785,2,37,73,0.336363636363636
2162,2,38,72,0.345454545454545
17358,2,39,71,0.354545454545455
13837,2,40,70,0.363636363636364
17034,2,41,69,0.372727272727273
1933,2,42,68,0.381818181818182
12182,2,43,67,0.390909090909091
18421,2,44,66,0.4
12104,2,45,65,0.409090909090909
3431,2,46,64,0.418181818181818
2437,2,47,63,0.427272727272727
17751,2,48,62,0.436363636363636
3429,1,49,61,0.445454545454545
11150,2,50,60,0.454545454545455
7952,1,51,59,0.463636363636364
10593,2,52,58,0.472727272727273
516,2,53,57,0.481818181818182
17647,2,54,56,0.490909090909091
10956,2,55,55,0.5
2550,2,56,54,0.509090909090909
14153,4,57,53,0.518181818181818
5081,2,58,52,0.527272727272727
12379,4,59,51,0.536363636363636
1663,1,60,50,0.545454545454545
10627,2,61,49,0.554545454545455
2656,2,62,48,0.563636363636364
4317,4,63,47,0.572727272727273
15568,4,64,46,0.581818181818182
16021,2,65,45,0.590909090909091
15156,2,66,44,0.6
2763,2,67,43,0.609090909090909
10136,2,68,42,0.618181818181818
6212,1,69,41,0.627272727272727
12478,2,70,40,0.636363636363636
9898,2,71,39,0.645454545454546
9406,2,72,38,0.654545454545455
16763,4,73,37,0.663636363636364
8466,2,74,36,0.672727272727273
9727,2,75,35,0.681818181818182
6427,4,76,34,0.690909090909091
636,2,77,33,0.7
17830,2,78,32,0.709090909090909
5783,2,79,31,0.718181818181818
11301,4,80,30,0.727272727272727
1059,2,81,29,0.736363636363636
8316,2,82,28,0.745454545454545
13219,2,83,27,0.754545454545455
8750,2,84,26,0.763636363636364
15676,2,85,25,0.772727272727273
17019,2,86,24,0.781818181818182
13987,2,87,23,0.790909090909091
8062,2,88,22,0.8
4285,2,89,21,0.809090909090909
7944,2,90,20,0.818181818181818
10567,2,91,19,0.827272727272727
3336,2,92,18,0.836363636363636
5526,2,93,17,0.845454545454545
3279,4,94,16,0.854545454545454
4608,4,95,15,0.863636363636364
4184,2,96,14,0.872727272727273
11294,4,97,13,0.881818181818182
3201,4,98,12,0.890909090909091
14132,4,99,11,0.9
14345,2,100,10,0.909090909090909
