id,min_et,min_st,min_rt,min_lf,min_vol
356,20,1,2,134,2
357,42,1,2,283,4
358,11,1,8,80,1
359,11,1,8,54,2
360,15,2,8,82,6
361,34,2,2,232,2
362,34,2,2,232,1
363,11,1,8,71,5
364,34,2,2,232,1
365,15,2,8,71,2
366,11,1,2,75,1
367,11,1,6,68,1
368,34,2,2,232,1
369,11,1,8,54,2
370,34,2,2,232,1
371,20,1,2,134,2
372,11,1,8,80,1
373,15,2,8,82,6
374,34,2,2,227,1
375,11,1,8,74,6
376,15,2,8,82,9
377,11,1,8,70,3
378,15,2,8,80,1
379,11,1,8,25,8
380,34,2,2,232,1
381,11,1,8,172,2
382,34,2,2,232,3
383,23,4,7,306,2
384,34,2,2,227,1
385,11,1,8,71,2
386,11,1,8,74,1
387,11,2,2,55,1
388,34,2,2,232,3
389,15,2,8,71,1
390,34,2,2,232,4
391,34,2,2,227,1
392,15,2,8,56,1
393,42,1,2,283,1
394,11,1,8,170,1
395,11,1,8,71,2
396,15,2,8,82,11
397,11,1,8,42,1
398,11,1,2,55,1
399,11,1,8,82,3
400,11,1,8,54,2
401,11,1,8,70,3
402,20,1,2,134,1
403,42,1,2,283,4
404,35,4,2,313,1
405,34,2,2,232,17
406,11,1,2,48,1
407,20,1,2,134,1
408,20,1,2,134,1
409,11,1,8,71,2
410,34,2,2,232,4
411,11,1,8,71,1
412,11,1,6,68,2
413,11,1,8,54,1
414,11,1,6,68,1
415,11,1,8,54,2
416,11,1,8,71,2
417,11,2,7,75,1
418,34,2,2,232,1
419,11,1,8,82,6
420,11,1,7,54,1
421,11,1,8,73,7
422,34,2,2,233,1
423,15,2,8,80,1
424,34,2,2,229,1
425,34,2,2,232,2
426,34,2,2,227,1
427,34,2,2,234,14
428,23,1,7,223,1
429,11,1,8,73,37
430,11,1,8,71,2
431,20,1,2,134,1
432,34,2,2,232,6
433,20,1,2,134,1
434,34,2,2,232,1
435,34,2,2,232,2
436,34,2,2,232,5
437,11,1,8,80,1
438,15,2,8,71,1
439,24,1,2,239,1
440,20,1,2,134,1
441,11,1,8,71,2
442,10,2,3,55,1
443,20,1,2,134,1
444,34,2,2,228,1
445,11,1,8,54,1
446,11,1,6,54,1
447,20,1,2,134,1
448,11,1,8,71,9
449,11,1,8,71,9
450,34,2,2,229,19
451,11,1,6,68,1
452,15,2,8,82,2
453,11,2,8,54,5
454,15,2,8,82,4
455,34,2,2,233,1
456,35,4,2,307,3
457,42,1,2,283,6
458,42,1,2,283,7
459,34,2,2,232,2
460,15,2,8,82,5
461,11,1,4,53,3
462,11,1,8,71,1
463,34,2,2,232,2
464,15,2,8,71,2
465,15,2,8,82,16
466,11,1,8,54,2
467,11,1,8,82,20
468,34,2,2,232,2
469,34,2,2,228,30
470,11,2,4,54,1
471,11,1,8,56,1
472,34,2,2,232,3
473,15,2,8,82,9
474,34,2,2,232,5
475,20,1,2,134,3
476,11,1,8,71,4
477,15,2,8,82,2
478,15,2,8,82,4
479,11,1,8,66,1
480,42,2,2,283,1
481,11,1,8,172,2
482,20,1,2,219,1
483,34,2,2,232,1
484,11,1,8,71,1
485,11,2,8,70,2
486,11,1,8,71,4
487,11,1,8,73,3
488,35,4,2,301,2
489,11,2,8,55,1
490,34,2,2,229,1
491,11,1,8,52,1
492,11,2,8,54,1
493,34,2,2,232,6
494,37,3,2,10,7
495,15,2,8,82,6
496,34,2,2,228,22
497,34,2,2,227,2
498,11,1,8,82,2
499,42,1,2,283,2
500,35,4,2,312,1
501,34,2,2,221,1
502,11,1,2,94,1
503,15,2,8,82,1
504,11,1,8,82,10
505,15,2,8,82,14
506,11,1,8,54,12
507,42,4,2,368,2
508,11,1,8,181,1
509,11,1,8,70,1
510,11,2,8,73,1
511,34,2,2,232,16
512,34,2,2,232,1
513,11,1,8,80,4
514,34,2,2,227,1
515,34,2,2,235,2
516,34,2,2,232,10
517,11,1,8,71,3
518,20,1,2,219,1
519,34,2,2,232,1
520,15,2,8,71,2
521,34,2,2,228,1
522,11,1,2,135,1
523,11,1,8,54,21
524,34,2,2,227,1
525,11,1,6,68,1
526,11,1,6,68,2
527,11,1,8,71,2
528,11,1,8,71,2
529,11,1,8,70,4
530,42,1,2,283,2
531,34,2,2,228,1
532,11,1,8,73,1
533,35,4,2,312,1
534,34,2,2,221,1
535,11,1,6,54,1
536,34,2,2,232,11
537,11,1,6,68,1
538,11,1,8,68,1
539,11,1,8,71,1
540,11,1,8,73,7
541,34,2,2,232,3
542,22,4,7,222,1
543,15,2,8,82,8
544,11,1,8,54,1
545,11,2,4,54,1
546,11,1,8,68,1
547,34,2,2,232,15
548,34,2,2,232,1
549,34,2,2,227,1
550,11,1,8,54,6
551,34,2,2,233,6
552,11,1,8,170,1
553,11,1,8,82,15
554,11,1,8,170,2
555,15,2,8,82,11
556,11,1,8,68,8
557,34,2,2,232,1
558,11,1,8,170,4
559,35,4,2,94,1
560,15,2,8,82,34
561,42,1,2,120,13
562,34,2,2,232,2
563,20,1,2,134,1
564,11,2,8,73,3
565,11,1,8,81,4
566,15,2,8,80,1
567,11,1,8,71,1
568,11,1,6,68,1
569,34,2,2,232,1
570,11,1,8,54,1
571,11,1,6,68,1
572,34,2,2,232,4
573,34,2,2,227,1
574,11,2,8,68,1
575,11,1,8,54,5
576,34,2,2,232,2
577,34,2,2,233,5
578,11,1,8,18,2
579,34,2,2,229,1
580,34,2,2,232,2
581,15,2,8,80,1
582,15,2,8,82,4
583,50,1,2,289,1
584,11,1,8,81,3
585,15,2,8,82,4
586,11,1,8,63,1
587,11,1,6,68,2
588,11,1,8,80,4
589,11,1,8,54,6
590,15,2,8,80,2
591,34,2,2,227,2
592,6,1,1,71,1
593,15,2,8,82,1
594,15,2,8,71,2
595,15,2,8,82,1
596,8,1,2,55,2
597,11,1,8,54,1
598,34,2,2,232,2
599,20,1,2,134,1
600,34,2,2,233,3
601,20,1,2,134,2
602,15,2,8,51,1
603,34,2,2,228,1
604,34,2,2,227,1
605,15,2,8,82,5
606,11,1,8,71,2
607,11,2,2,194,1
608,15,2,8,80,1
609,34,2,2,232,1
610,11,1,6,68,2
611,11,1,8,54,1
612,34,2,2,232,1
613,34,2,2,233,1
614,34,2,2,227,1
615,34,2,2,232,4
616,11,1,8,57,1
617,11,1,4,47,1
618,34,2,2,227,1
619,11,1,8,55,8
620,11,1,8,82,61
621,11,1,4,47,2
622,11,2,7,75,1
623,15,2,8,82,19
624,34,2,2,227,1
625,11,1,8,54,1
626,34,2,2,228,1
627,11,1,8,80,1
628,15,2,8,68,4
629,11,1,8,71,2
630,34,2,2,232,5
631,11,1,8,71,1
632,11,1,8,87,1
633,34,2,2,232,12
634,11,1,8,71,2
635,11,1,8,71,1
636,34,2,2,232,1
637,35,4,2,313,1
638,34,2,2,228,1
639,29,1,9,132,4
640,11,1,6,54,1
641,11,2,2,67,1
642,11,1,2,54,2
643,15,2,8,80,2
644,34,2,2,232,5
645,46,1,2,284,229
646,34,2,2,230,1
647,15,2,8,82,4
648,34,2,2,227,2
649,34,2,2,232,1
650,11,1,8,54,1
651,34,2,2,232,4
652,11,1,8,53,1
653,11,1,2,80,2
654,11,1,8,54,1
655,11,1,8,54,1
656,34,2,2,228,23
657,42,1,2,283,10
658,11,1,2,54,1
659,35,4,2,312,1
660,34,2,2,232,1
661,11,1,6,68,1
662,34,2,2,232,38
663,15,1,2,80,1
664,11,1,8,80,1
665,15,2,8,80,1
666,20,1,2,134,1
667,34,2,2,232,2
668,34,2,2,232,1
669,34,2,2,232,3
670,11,1,8,51,1
671,35,4,2,312,1
672,34,2,2,232,1
673,15,2,8,82,5
674,20,1,2,134,1
675,15,2,8,71,2
676,11,1,8,54,1
677,20,1,2,134,1
678,34,2,2,227,1
679,11,1,8,71,1
680,34,2,2,232,58
681,11,1,8,70,5
682,34,2,2,232,7
683,11,1,8,55,1
684,11,1,8,82,19
685,11,1,8,80,3
686,11,1,8,70,1
687,42,1,2,283,4
688,34,2,2,232,82
689,42,1,2,283,4
690,11,1,8,54,1
691,15,2,8,80,1
692,11,1,2,71,8
693,15,1,2,80,2
694,11,1,2,54,3
695,11,1,8,73,1
696,15,2,8,80,1
697,42,1,2,283,7
698,11,1,8,71,4
699,11,1,8,56,1
700,11,1,8,170,2
701,11,1,8,70,1
702,5,1,1,8,1
703,34,2,2,232,2
704,23,4,7,306,2
705,32,4,8,280,2
706,11,1,8,73,1
707,34,2,2,232,1
708,15,2,8,82,4
709,11,1,8,87,1
710,15,2,8,82,4
711,11,1,2,54,1
712,20,1,2,134,2
713,34,2,2,228,1
714,11,1,8,71,2
715,34,2,2,232,10
716,42,1,2,283,4
717,35,4,2,313,1
718,11,2,2,44,1
719,11,1,8,56,1
720,34,2,2,232,1
721,15,2,8,82,14
722,11,1,8,80,2
723,20,1,2,134,1
724,34,2,2,232,7
725,11,1,8,80,3
726,20,1,2,134,1
727,34,2,2,232,22
728,11,1,8,74,2
729,11,1,6,54,1
730,11,2,7,78,1
731,20,1,2,134,1
732,11,2,4,54,2
733,11,1,8,54,16
734,34,2,2,232,1
735,34,2,2,232,2
736,15,1,8,82,34
737,11,1,8,71,14
738,20,1,2,134,1
739,15,2,8,71,8
740,34,2,2,227,1
741,11,1,8,170,1
742,11,1,8,71,3
743,11,1,8,54,1
744,20,1,2,134,1
745,34,2,2,227,1
746,11,1,8,68,1
747,34,2,2,232,1
748,11,1,8,54,10
749,20,1,2,134,2
750,11,1,8,54,6
751,15,2,8,82,2
752,11,1,2,71,2
753,11,1,8,73,2
754,11,1,8,54,1
755,34,2,2,232,1
756,34,2,2,228,1
757,11,2,8,55,1
758,11,2,4,68,2
759,42,1,2,283,1
760,11,1,8,54,3
761,10,1,3,55,1
762,11,1,8,54,1
763,34,2,2,232,2
764,11,2,8,73,2
765,11,1,7,54,1
766,34,2,2,232,1
767,34,2,2,234,7
768,34,2,2,233,1
769,42,1,2,283,3
770,11,1,8,54,4
771,3,1,8,55,1
772,15,2,8,82,5
773,42,1,2,283,1
774,34,2,2,232,7
775,11,1,8,70,6
776,11,2,8,81,4
777,11,1,8,133,1
778,11,1,8,18,1
779,34,2,2,232,24
780,34,2,2,227,1
781,15,2,8,82,6
782,11,1,8,82,36
783,11,1,8,170,1
784,34,2,2,232,11
785,34,2,2,229,1
786,34,2,2,232,31
787,42,1,2,283,1
788,21,1,2,135,1
789,15,2,8,82,5
790,15,2,8,82,4
791,38,2,2,238,2
792,34,2,2,232,3
793,11,1,8,73,1
794,11,1,8,80,2
795,11,1,2,87,1
796,11,1,8,80,3
797,34,2,2,227,4
798,15,2,8,82,2
799,34,2,2,227,2
800,34,2,2,232,1
801,35,4,2,301,7
802,11,1,8,71,1
803,11,1,8,55,1
804,20,1,2,134,1
805,11,1,8,54,1
806,8,1,2,49,1
807,42,1,2,283,1
808,34,2,2,232,18
809,20,1,2,134,1
810,54,4,2,360,2
811,34,2,2,232,2
812,11,1,8,24,2
813,11,1,8,42,5
814,11,1,8,81,12
815,34,2,2,232,4
816,11,1,8,54,3
817,11,2,8,81,1
818,15,2,8,71,2
819,15,2,8,82,14
820,11,1,8,73,1
821,15,2,8,80,1
822,34,2,2,235,191
823,50,1,2,289,2
824,11,4,8,54,1
825,38,4,2,317,1
826,34,2,2,232,17
827,20,1,2,134,1
828,15,2,8,82,3
829,34,2,2,232,1
830,34,2,2,232,45
831,34,2,2,233,1
832,34,2,2,232,1
833,15,2,8,82,6
834,42,1,2,283,1
835,9,1,2,15,1
836,35,4,2,312,1
837,34,2,2,232,16
838,15,2,8,82,12
839,11,1,8,80,2
840,10,4,3,39,1
841,11,1,8,54,1
842,34,2,2,228,1
843,42,1,2,283,1
844,54,4,2,360,2
845,11,1,8,71,2
846,15,2,8,82,4
847,2,1,8,1,1
848,11,1,8,73,1
849,20,1,2,134,1
850,11,1,8,80,1
851,34,2,2,232,1
852,34,2,2,232,2
853,34,2,2,232,16
854,11,1,2,56,1
855,11,1,8,80,9
856,34,2,2,227,1
857,10,5,3,153,1
858,11,1,8,54,2
859,20,1,2,134,1
860,11,1,8,54,1
861,11,1,4,54,7
862,11,1,8,170,12
863,11,1,8,52,1
864,11,1,8,73,2
865,11,1,2,54,1
866,11,4,8,51,1
867,11,2,2,44,1
868,34,2,2,232,43
869,35,4,2,312,1
870,34,2,2,232,1
871,34,2,2,227,2
872,15,2,8,80,2
873,2,1,8,2,1
874,11,1,8,82,42
875,11,1,8,171,1
876,34,2,2,232,24
877,11,1,6,54,1
878,11,2,8,62,1
879,34,2,2,232,9
880,11,1,8,71,9
881,11,2,8,73,1
882,10,5,3,37,1
883,11,2,8,54,2
884,11,1,2,44,1
885,34,2,2,232,2
886,11,1,8,71,2
887,34,2,2,232,1
888,10,4,3,39,2
889,34,2,2,227,1
890,11,1,8,71,2
891,34,2,2,232,1
892,34,2,2,232,1
893,11,1,8,56,4
894,15,2,8,80,1
895,34,2,2,221,1
896,11,1,8,55,1
897,34,2,2,232,23
898,35,4,2,307,1
899,34,2,2,232,14
900,11,4,8,40,1
901,15,2,8,71,1
902,15,2,8,82,1
903,15,2,8,82,3
904,11,1,8,55,1
905,11,1,8,71,1
906,11,1,8,87,6
907,15,2,8,82,10
908,15,1,2,71,1
909,11,2,8,55,1
910,11,1,8,71,1
911,42,1,2,283,5
912,11,1,8,81,2
913,34,2,2,229,11
914,11,2,4,170,1
915,11,1,8,70,2
916,34,2,2,227,1
917,34,2,2,232,3
918,34,2,2,228,1
919,20,1,2,134,1
920,34,2,2,232,1
921,11,1,8,73,3
922,20,1,2,134,1
923,34,2,2,229,1
924,11,1,8,71,3
925,34,2,2,232,1
926,24,1,2,239,2
927,11,1,8,55,1
928,11,1,8,73,49
929,34,2,2,227,1
930,11,1,8,73,7
931,35,4,2,307,1
932,34,2,2,232,13
933,11,1,2,54,1
934,34,2,2,227,1
935,15,1,8,82,4
936,35,4,2,358,2
937,11,1,8,56,2
938,15,2,8,71,1
939,15,2,8,82,5
940,23,4,7,306,1
941,11,1,2,44,1
942,34,2,2,232,18
943,35,4,2,312,1
944,34,2,2,232,2
945,34,2,2,228,19
946,20,1,2,134,1
947,15,2,8,82,8
948,11,1,8,54,2
949,11,1,8,68,1
950,34,2,2,232,2
951,50,1,2,289,1
952,11,1,6,68,1
953,10,4,3,154,1
954,11,1,7,162,1
955,20,1,2,134,1
956,11,1,8,80,4
957,15,2,8,56,1
958,34,2,2,232,1
959,11,1,8,68,2
960,11,1,8,71,1
961,11,1,8,54,1
962,34,2,2,233,1
963,11,1,2,134,1
964,11,1,8,73,2
965,11,1,8,80,13
966,34,2,2,232,40
967,42,1,2,283,1
968,20,1,2,134,1
969,18,1,10,328,2
970,20,1,2,134,1
971,34,2,2,232,2
972,20,1,2,134,1
973,34,2,2,232,13
974,34,2,2,228,9
975,11,2,8,73,1
976,34,2,2,232,1
977,15,1,2,80,1
978,11,2,4,54,1
979,15,2,8,80,1
980,34,2,2,221,1
981,11,2,4,68,1
982,11,4,8,54,2
983,34,2,2,235,80
984,34,2,2,232,6
985,11,1,8,73,4
986,11,1,8,80,6
987,11,1,4,47,1
988,11,1,8,81,12
989,10,4,3,153,1
990,34,2,2,232,1
991,11,1,8,73,3
992,11,1,8,73,3
993,11,2,8,44,4
994,11,1,8,71,1
995,15,2,8,82,30
996,34,2,2,232,2
997,11,1,7,54,1
998,11,1,8,73,6
999,15,2,8,71,2
1000,11,1,8,54,1
1001,20,1,2,134,2
1002,11,1,8,55,9
1003,34,2,2,232,12
1004,11,1,6,68,1
1005,11,1,8,54,1
1006,11,1,8,54,2
1007,11,1,8,80,1
1008,11,1,8,55,2
1009,20,1,2,219,1
1010,24,1,2,239,1
1011,35,4,2,313,1
1012,34,2,2,232,1
1013,20,1,2,134,1
1014,20,1,2,134,1
1015,11,2,4,54,1
1016,34,2,2,232,2
1017,35,4,2,301,1
1018,15,2,8,80,3
1019,34,2,2,232,2
1020,34,2,2,227,1
1021,34,2,2,232,38
1022,11,1,6,68,1
1023,11,1,8,55,4
1024,35,4,2,309,1
1025,11,1,7,87,1
1026,11,2,8,75,2
1027,34,2,2,227,1
1028,20,1,2,134,1
1029,34,2,2,228,25
1030,11,2,8,54,1
1031,15,2,8,71,1
1032,34,2,2,233,1
1033,34,2,2,235,1
1034,11,2,8,60,1
1035,11,1,2,46,1
1036,11,1,2,74,1
1037,34,2,2,232,20
1038,34,2,2,232,1
1039,11,1,8,56,1
1040,34,2,2,233,1
1041,15,2,8,82,7
1042,34,2,2,232,3
1043,11,2,7,27,1
1044,23,4,7,223,1
1045,11,2,8,73,5
1046,11,2,8,73,1
1047,34,2,2,232,5
1048,15,2,8,80,1
1049,34,2,2,232,1
1050,11,1,6,68,1
1051,34,2,2,228,28
1052,15,2,8,71,5
1053,11,1,8,54,2
1054,11,1,8,68,2
1055,34,2,2,227,3
1056,11,1,8,71,1
1057,14,1,2,318,1
1058,34,2,2,227,1
1059,34,2,2,228,2
1060,11,1,8,68,1
1061,15,2,8,82,13
1062,11,2,8,54,1
1063,11,1,4,54,2
1064,11,1,8,80,1
1065,15,2,8,82,35
1066,34,2,2,232,1
1067,34,2,2,232,1
1068,11,1,8,170,2
1069,34,2,2,233,1
1070,11,1,8,51,1
1071,34,2,2,232,3
1072,15,2,8,82,6
1073,15,2,8,82,27
1074,11,1,6,68,1
1075,34,2,2,232,5
1076,11,1,8,56,49
1077,34,2,2,232,3
1078,11,1,8,70,5
1079,34,2,2,232,1
1080,11,1,8,55,8
1081,34,2,2,233,6
1082,11,1,8,71,2
1083,34,2,2,232,40
1084,11,2,8,55,1
1085,34,2,2,232,1
1086,11,1,8,87,2
1087,15,2,8,71,1
1088,15,1,8,82,4
1089,34,2,2,232,5
1090,34,2,2,232,1
1091,23,1,7,225,1
1092,32,4,8,280,2
1093,34,2,2,227,1
1094,34,2,2,232,3
1095,11,2,8,170,1
1096,11,1,8,55,19
1097,34,2,2,232,1
1098,11,1,8,73,4
1099,34,2,2,233,2
1100,34,2,2,228,1
1101,34,2,2,227,1
1102,15,2,8,82,9
1103,42,2,2,290,1
1104,2,1,2,1,1
1105,20,1,2,134,1
1106,11,1,8,71,1
1107,11,1,8,71,2
1108,20,1,2,134,1
1109,11,1,2,135,1
1110,15,2,8,82,14
1111,11,1,8,170,3
1112,11,1,4,47,5
1113,34,2,2,234,1
1114,34,2,2,232,1
1115,34,2,2,232,10
1116,20,1,2,134,4
1117,11,2,8,68,2
1118,34,2,2,232,1
1119,34,2,2,232,3
1120,11,1,8,73,4
1121,11,1,8,70,2
1122,11,2,8,55,1
1123,11,2,8,68,1
1124,34,2,2,227,1
1125,11,1,4,54,2
1126,11,1,8,56,1
1127,15,2,8,82,2
1128,20,1,2,134,1
1129,34,2,2,232,21
1130,11,1,2,75,1
1131,34,2,2,227,1
1132,11,1,8,70,11
1133,11,1,8,81,1
1134,11,1,8,155,6
1135,11,1,8,54,6
1136,34,2,2,232,8
1137,13,1,6,345,1
1138,11,1,8,82,1
1139,15,2,8,82,1
1140,11,1,2,80,7
1141,34,2,2,234,3
1142,34,2,2,232,1
1143,11,2,8,73,4
1144,11,1,8,71,2
1145,20,1,2,134,1
1146,11,1,8,56,6
1147,34,2,2,232,5
1148,20,1,2,134,1
1149,50,1,2,289,1
