id,count_et,count_st,count_rt,count_lf,count_vol
84,2,1,2,2,2
85,1,1,1,2,2
86,2,1,1,2,2
87,1,1,1,3,2
88,2,1,1,4,2
89,1,1,1,2,1
90,1,1,1,1,1
91,2,1,2,4,2
92,1,1,1,1,1
93,1,1,1,1,1
94,1,1,1,3,3
95,2,1,1,4,4
96,1,1,1,2,2
97,1,1,1,1,1
98,2,1,1,2,2
99,2,1,1,6,3
100,1,1,1,1,1
101,2,1,1,2,1
102,2,1,1,2,1
103,4,1,2,9,3
104,2,1,1,5,3
105,2,1,1,7,2
106,1,1,1,1,1
107,2,1,1,2,2
108,2,1,1,2,1
109,1,1,1,1,1
110,1,1,1,1,1
111,2,1,1,5,2
112,1,1,1,1,1
113,2,1,1,4,4
114,1,1,1,2,1
115,2,1,1,4,1
116,1,1,1,1,1
117,1,1,1,1,1
118,1,1,1,2,1
119,1,1,1,2,2
120,2,1,1,3,3
121,3,1,1,4,3
122,1,1,1,2,1
123,3,1,2,10,4
124,2,1,1,6,3
125,1,1,1,2,2
126,1,1,1,2,1
127,1,1,1,1,1
128,1,1,1,1,1
129,1,1,1,2,1
130,1,1,1,2,2
131,1,1,1,2,1
132,1,1,1,2,2
133,1,1,1,2,1
134,3,1,1,5,3
135,1,1,1,2,2
136,2,1,1,4,2
137,2,1,1,3,2
138,2,1,1,3,3
139,2,1,1,6,3
140,1,1,1,2,2
141,2,1,1,2,2
142,2,1,1,5,5
143,2,1,1,3,2
144,1,1,1,2,1
145,1,1,1,2,2
146,2,1,1,4,4
147,1,1,1,2,2
148,2,1,1,3,2
149,2,1,1,6,2
150,3,1,3,3,1
151,1,1,1,3,2
152,3,1,1,4,1
153,1,1,1,1,1
154,2,1,1,2,1
155,1,1,1,2,1
156,1,1,1,2,1
157,1,1,1,2,2
158,1,1,1,2,1
159,1,1,1,2,2
160,1,1,1,1,1
161,2,1,1,4,3
162,2,1,1,4,4
163,1,1,1,2,1
164,1,1,1,2,1
165,2,1,2,1,1
166,2,1,1,4,3
167,2,1,2,2,2
168,2,1,1,2,1
169,1,1,1,2,1
170,1,1,1,2,2
171,2,1,1,3,1
172,1,1,1,2,2
173,1,1,1,2,1
174,2,1,1,4,2
175,1,1,1,2,1
176,1,1,1,2,2
177,2,1,1,3,1
178,1,1,1,1,1
179,2,1,1,4,3
180,1,1,1,2,1
181,1,1,1,2,2
182,1,1,1,2,1
183,2,1,2,2,2
184,2,1,1,6,5
185,2,1,1,3,1
186,1,1,1,2,2
187,2,1,1,1,1
188,2,1,1,6,1
189,2,1,2,4,2
190,2,1,1,6,3
191,2,1,1,4,2
192,1,1,1,2,1
193,1,1,1,2,1
194,1,1,1,1,1
195,1,1,1,1,1
196,1,1,1,2,1
197,1,1,1,1,1
198,3,1,1,6,3
199,1,1,1,1,1
200,1,1,1,3,3
201,2,1,1,4,4
202,1,1,1,2,1
203,1,1,1,1,1
204,2,1,1,6,5
205,3,1,1,6,5
206,1,1,1,2,2
207,2,1,1,4,3
208,2,1,2,5,2
209,2,1,1,2,1
210,3,1,2,5,3
211,2,1,1,1,1
212,1,1,1,2,1
213,2,1,1,4,4
214,3,1,3,3,3
215,9,1,2,16,7
216,1,1,1,2,2
217,2,1,2,4,1
218,1,1,1,2,2
219,1,1,1,2,2
220,1,1,1,2,1
221,2,1,1,5,4
222,1,1,1,4,4
223,2,1,1,4,2
224,2,1,1,2,2
225,1,1,1,1,1
226,1,1,1,1,1
227,1,1,1,4,3
228,1,1,1,2,2
229,2,1,1,6,6
230,2,1,1,2,2
231,3,1,1,6,4
232,2,1,1,2,1
233,2,1,1,8,6
234,1,1,1,1,1
235,2,1,1,5,3
236,2,1,1,2,2
237,1,1,1,3,3
238,1,1,1,2,2
239,1,1,1,2,1
240,3,1,1,5,3
241,2,1,1,2,1
242,1,1,1,2,2
243,2,1,1,2,1
244,1,1,1,2,1
245,3,1,1,6,2
246,1,1,1,1,1
247,1,1,1,2,1
248,2,1,1,6,4
249,2,1,1,9,3
250,4,1,4,6,2
251,2,1,1,6,4
252,1,1,1,1,1
253,2,1,1,4,3
254,3,1,2,1,1
255,4,1,2,8,1
256,1,1,1,1,1
257,1,1,1,2,2
258,2,1,1,2,2
259,1,1,1,2,1
260,1,1,1,2,2
261,2,1,2,2,2
262,1,1,1,2,1
263,3,1,2,5,5
264,1,1,1,8,3
265,1,1,1,2,2
266,1,1,1,2,2
267,1,1,1,2,2
268,1,1,1,1,1
269,1,1,1,1,1
270,2,1,1,4,4
271,1,1,1,2,2
272,2,1,1,6,6
273,2,1,1,15,10
274,2,1,1,2,2
275,1,1,1,4,3
276,2,1,1,4,4
277,2,1,1,5,2
278,2,1,1,4,4
279,1,1,1,1,1
280,2,1,1,2,2
281,2,1,1,6,3
282,1,1,1,2,2
283,2,1,1,4,4
284,1,1,1,2,2
285,3,1,1,7,1
286,1,1,1,2,1
287,2,1,2,1,1
288,1,1,1,2,1
289,1,1,1,1,1
290,3,1,1,6,5
291,2,1,1,2,2
292,2,1,1,7,7
293,2,1,1,2,1
294,2,1,1,4,4
295,1,1,1,3,1
296,1,1,1,2,2
297,2,1,2,4,4
298,2,1,1,3,3
299,2,1,1,2,2
300,3,1,2,3,2
301,3,1,2,5,3
302,2,1,1,2,1
303,2,1,1,3,3
304,2,1,1,2,2
305,1,1,1,2,1
306,3,1,1,6,4
307,3,1,3,7,4
308,1,1,1,4,4
309,3,1,3,6,4
310,1,1,1,2,2
311,4,1,3,4,2
312,1,1,1,4,1
313,1,1,1,2,2
314,2,1,1,2,2
315,2,1,2,4,2
316,2,1,1,2,2
317,3,1,1,6,3
318,2,1,1,2,1
319,1,1,1,4,4
320,2,1,1,5,5
321,1,1,1,2,1
322,1,1,1,3,3
323,1,1,1,2,2
324,1,1,1,1,1
325,2,1,1,4,3
326,2,1,1,4,2
327,2,1,1,2,2
328,1,1,1,2,1
329,1,1,1,2,2
330,2,1,1,4,1
331,2,1,1,2,2
332,2,1,1,2,2
333,2,1,2,2,1
334,3,1,2,4,2
335,2,1,1,2,1
336,2,1,2,4,3
337,1,1,1,2,2
338,1,1,1,2,1
339,5,1,4,6,2
340,2,1,1,2,2
341,2,1,1,6,5
342,1,1,1,2,2
343,2,1,1,2,2
344,2,1,1,15,12
345,3,1,1,6,4
346,1,1,1,2,2
347,3,1,2,4,2
348,2,1,1,2,2
349,2,1,1,2,2
350,1,1,1,2,2
351,2,1,1,3,2
352,2,1,1,7,6
353,2,1,1,6,6
354,2,1,1,4,1
355,2,1,1,2,2
356,3,1,1,4,2
357,3,1,1,6,5
358,1,1,1,2,1
359,1,1,1,1,1
360,1,1,1,2,2
361,2,1,1,2,2
362,2,1,1,2,1
363,2,1,1,2,1
364,2,1,1,2,1
365,1,1,1,2,1
366,3,1,3,4,2
367,2,1,2,2,1
368,2,1,1,3,1
369,1,1,1,2,1
370,2,1,1,2,1
371,1,1,1,1,1
372,2,1,1,3,2
373,1,1,1,2,2
374,2,1,1,4,2
375,2,1,1,5,5
376,1,1,1,2,2
377,1,1,1,2,2
378,1,1,1,4,3
379,2,1,1,3,3
380,2,1,1,6,5
381,1,1,1,1,1
382,2,1,1,2,1
383,1,1,1,1,1
384,2,1,1,4,1
385,2,1,1,4,4
386,2,1,1,5,4
387,2,1,2,2,1
388,2,1,1,6,4
389,1,1,1,2,2
390,2,1,1,2,1
391,2,1,1,5,3
392,1,1,1,2,2
393,3,1,1,5,2
394,1,1,1,2,2
395,2,1,1,4,4
396,1,1,1,2,2
397,1,1,1,2,2
398,2,1,2,2,2
399,2,1,1,2,2
400,1,1,1,2,2
401,1,1,1,2,1
402,1,1,1,2,2
403,3,1,1,5,3
404,1,1,1,2,1
405,2,1,1,2,2
406,6,1,5,7,3
407,2,1,1,5,2
408,1,1,1,2,1
409,2,1,1,2,2
410,2,1,1,2,2
411,2,1,1,6,5
412,2,1,2,2,2
413,2,1,1,7,3
414,2,1,2,4,2
415,1,1,1,4,2
416,2,1,1,4,3
417,3,1,2,3,2
418,2,1,1,6,5
419,2,1,1,2,1
420,3,1,2,6,2
421,1,1,1,2,2
422,2,1,1,2,1
423,1,1,1,1,1
424,2,1,1,6,4
425,2,1,1,2,2
426,2,1,1,6,3
427,2,1,1,2,2
428,2,1,2,2,1
429,1,1,1,2,2
430,2,1,1,3,3
431,1,1,1,2,1
432,2,1,1,2,2
433,3,1,1,9,1
434,2,1,1,7,6
435,2,1,1,2,1
436,2,1,1,2,1
437,1,1,1,2,1
438,1,1,1,3,3
439,1,1,1,2,1
440,2,1,1,3,1
441,2,1,1,8,7
442,2,1,2,2,2
443,3,1,1,5,3
444,2,1,1,4,2
445,1,1,1,4,2
446,2,1,2,3,1
447,3,1,1,4,1
448,2,1,1,4,4
449,2,1,1,1,1
450,2,1,1,6,6
451,3,1,3,4,2
452,1,1,1,2,2
453,1,1,1,1,1
454,1,1,1,1,1
455,2,1,1,5,2
456,1,1,1,2,1
457,2,1,1,4,4
458,3,1,1,6,5
459,2,1,1,6,2
460,1,1,1,2,2
461,2,1,2,7,4
462,2,1,1,6,5
463,2,1,1,2,1
464,1,1,1,3,3
465,1,1,1,2,2
466,1,1,1,2,2
467,2,1,1,2,2
468,2,1,1,2,2
469,2,1,1,4,4
470,3,1,3,2,1
471,1,1,1,1,1
472,2,1,1,5,3
473,1,1,1,2,2
474,2,1,1,2,1
475,1,1,1,2,1
476,2,1,1,6,6
477,1,1,1,2,2
478,1,1,1,2,2
479,1,1,1,2,1
480,1,1,1,1,1
481,1,1,1,3,3
482,1,1,1,1,1
483,2,1,1,2,1
484,2,1,1,4,2
485,1,1,1,2,1
486,2,1,1,4,4
487,1,1,1,3,3
488,1,1,1,1,1
489,1,1,1,2,1
490,2,1,1,7,6
491,2,1,1,3,2
492,1,1,1,2,1
493,2,1,1,2,2
494,2,1,1,2,2
495,1,1,1,2,2
496,2,1,1,4,3
497,2,1,1,4,2
498,1,1,1,1,1
499,3,1,1,6,3
500,1,1,1,1,1
501,2,1,1,4,2
502,3,1,2,6,1
503,1,1,1,2,2
504,2,1,1,2,2
505,1,1,1,1,1
506,1,1,1,2,2
507,3,1,1,3,1
508,1,1,1,1,1
509,1,1,1,2,2
510,1,1,1,1,1
511,2,1,1,2,1
512,2,1,1,2,1
513,2,1,1,4,4
514,2,1,1,4,1
515,2,1,1,2,1
516,2,1,1,2,2
517,2,1,1,5,5
518,2,1,1,2,1
519,2,1,1,4,1
520,1,1,1,4,4
521,2,1,1,6,3
522,5,1,2,10,2
523,1,1,1,2,2
524,2,1,1,6,1
525,2,1,2,3,2
526,2,1,2,2,2
527,2,1,1,2,2
528,2,1,1,6,5
529,1,1,1,1,1
530,2,1,1,4,3
531,2,1,1,8,8
532,1,1,1,2,1
533,1,1,1,1,1
534,2,1,1,2,2
535,2,1,2,3,1
536,2,1,1,2,1
537,2,1,2,3,2
538,2,1,2,2,1
539,2,1,1,4,3
540,1,1,1,2,2
541,2,1,1,3,3
542,1,1,1,2,1
543,1,1,1,2,2
544,1,1,1,2,1
545,2,1,2,2,2
546,1,1,1,2,2
547,2,1,1,2,2
548,2,1,1,2,1
549,2,1,1,17,12
550,1,1,1,2,2
551,2,1,1,4,2
552,1,1,1,1,1
553,2,1,1,2,2
554,1,1,1,2,2
555,1,1,1,2,2
556,1,1,1,1,1
557,2,1,1,2,2
558,1,1,1,1,1
559,1,1,1,1,1
560,1,1,1,1,1
561,2,1,1,6,6
562,2,1,1,6,6
563,8,1,1,16,6
564,1,1,1,2,1
565,1,1,1,2,1
566,1,1,1,4,2
567,2,1,1,6,5
568,3,1,3,3,1
569,2,1,1,4,2
570,1,1,1,2,2
571,2,1,2,5,4
572,2,1,1,2,1
573,2,1,1,6,3
574,1,1,1,2,1
575,1,1,1,2,1
576,2,1,1,2,2
577,2,1,1,2,2
578,1,1,1,3,3
579,2,1,1,10,7
580,2,1,1,4,2
581,1,1,1,1,1
582,1,1,1,2,1
583,1,1,1,1,1
584,1,1,1,2,2
585,1,1,1,1,1
586,1,1,1,1,1
587,2,1,2,4,3
588,2,1,1,4,2
589,1,1,1,2,2
590,1,1,1,2,2
591,2,1,1,8,5
592,4,1,3,6,4
593,1,1,1,2,2
594,1,1,1,4,3
595,1,1,1,2,2
596,2,1,2,4,2
597,1,1,1,2,2
598,2,1,1,7,3
599,1,1,1,1,1
600,2,1,1,4,2
601,2,1,1,2,1
602,1,1,1,1,1
603,2,1,1,13,7
604,2,1,1,7,2
605,1,1,1,1,1
606,2,1,1,4,3
607,2,1,2,1,1
608,1,1,1,3,3
609,2,1,1,2,1
610,2,1,2,4,1
611,1,1,1,3,2
612,2,1,1,2,1
613,2,1,1,5,3
614,2,1,1,6,3
615,2,1,1,2,1
616,1,1,1,4,2
617,5,1,5,10,1
618,2,1,1,14,12
619,1,1,1,2,1
620,2,1,1,2,2
621,2,1,2,2,2
622,3,1,2,4,1
623,1,1,1,1,1
624,1,1,1,2,1
625,1,1,1,7,4
626,2,1,1,18,15
627,2,1,1,2,2
628,1,1,1,1,1
629,3,1,1,3,2
630,2,1,1,2,1
631,2,1,1,6,5
632,1,1,1,2,2
633,2,1,1,2,2
634,2,1,1,2,2
635,2,1,1,3,2
636,2,1,1,2,1
637,1,1,1,2,1
638,2,1,1,8,2
639,1,1,1,2,1
640,2,1,2,5,3
641,2,1,2,3,1
642,2,1,2,2,1
643,1,1,1,3,3
644,2,1,1,2,1
645,2,1,1,2,2
646,2,1,1,6,5
647,1,1,1,2,2
648,2,1,1,4,2
649,2,1,1,2,1
650,1,1,1,1,1
651,2,1,1,2,2
652,1,1,1,1,1
653,3,1,2,2,2
654,1,1,1,2,1
655,1,1,1,3,2
656,2,1,1,4,3
657,3,1,1,6,4
658,5,1,3,6,3
659,1,1,1,1,1
660,2,1,1,5,2
661,3,1,3,4,2
662,2,1,1,2,2
663,2,1,2,4,4
664,2,1,1,4,3
665,1,1,1,4,4
666,2,1,1,3,1
667,2,1,1,5,4
668,2,1,1,2,1
669,2,1,1,2,1
670,2,1,1,2,2
671,1,1,1,1,1
672,2,1,1,2,1
673,1,1,1,2,2
674,1,1,1,2,1
675,1,1,1,3,3
676,1,1,1,4,4
677,1,1,1,2,1
678,2,1,1,6,2
679,2,1,1,3,3
680,2,1,1,2,1
681,1,1,1,2,2
682,2,1,1,2,1
683,1,1,1,2,2
684,2,1,1,2,2
685,2,1,1,3,3
686,1,1,1,2,2
687,2,1,1,4,2
688,2,1,1,2,2
689,2,1,1,4,2
690,1,1,1,2,1
691,1,1,1,2,2
692,3,1,2,2,2
693,2,1,2,4,3
694,2,1,2,2,1
695,1,1,1,2,2
696,1,1,1,4,4
697,2,1,1,4,3
698,2,1,1,4,4
699,2,1,1,6,4
700,1,1,1,1,1
701,1,1,1,4,3
702,2,1,2,4,3
703,2,1,1,6,2
704,1,1,1,1,1
705,1,1,1,1,1
706,1,1,1,4,2
707,2,1,1,2,2
708,1,1,1,2,2
709,1,1,1,1,1
710,1,1,1,2,2
711,2,1,2,2,2
712,1,1,1,2,1
713,2,1,1,8,2
714,2,1,1,2,2
715,2,1,1,2,2
716,3,1,1,5,1
717,1,1,1,2,1
718,3,1,2,4,2
719,2,1,1,6,5
720,2,1,1,2,1
721,1,1,1,1,1
722,2,1,1,2,2
723,2,1,1,3,2
724,2,1,1,6,6
725,2,1,1,2,2
726,1,1,1,2,2
727,2,1,1,2,2
728,1,1,1,2,1
729,2,1,2,4,2
730,2,1,2,2,1
731,3,1,1,6,2
732,2,1,2,1,1
733,1,1,1,2,2
734,2,1,1,5,3
735,2,1,1,4,2
736,2,1,1,1,1
737,2,1,1,4,4
738,1,1,1,2,1
739,1,1,1,1,1
740,2,1,1,6,2
741,1,1,1,2,2
742,2,1,1,3,2
743,1,1,1,1,1
744,1,1,1,2,1
745,2,1,1,4,1
746,1,1,1,1,1
747,2,1,1,2,1
748,1,1,1,2,2
749,3,1,1,3,2
750,1,1,1,2,1
751,1,1,1,2,2
752,3,1,2,4,3
753,1,1,1,1,1
754,1,1,1,2,1
755,2,1,1,6,5
756,2,1,1,4,2
757,1,1,1,1,1
758,2,1,2,1,1
759,6,1,1,6,3
760,1,1,1,2,2
761,2,1,2,4,1
762,1,1,1,1,1
763,2,1,1,2,1
764,1,1,1,2,2
765,3,1,2,6,4
766,2,1,1,7,2
767,2,1,1,2,2
768,2,1,1,4,3
769,3,1,1,6,4
770,1,1,1,2,2
771,2,1,1,5,4
772,1,1,1,2,2
773,4,1,1,6,1
774,2,1,1,2,1
775,1,1,1,4,4
776,1,1,1,2,1
777,2,1,2,3,2
778,1,1,1,3,3
779,2,1,1,2,1
780,2,1,1,6,1
781,1,1,1,1,1
782,2,1,1,2,2
783,1,1,1,1,1
784,2,1,1,2,2
785,2,1,1,10,3
786,2,1,1,2,2
787,4,1,1,6,1
788,2,1,1,3,1
789,1,1,1,2,2
790,1,1,1,2,2
791,1,1,1,2,2
792,2,1,1,2,1
793,1,1,1,2,1
794,1,1,1,4,3
795,2,1,2,4,1
796,2,1,1,4,4
797,2,1,1,8,5
798,1,1,1,2,2
799,2,1,1,4,2
800,2,1,1,2,1
801,1,1,1,1,1
802,2,1,1,4,4
803,1,1,1,4,2
804,3,1,1,3,1
805,1,1,1,6,3
806,2,1,2,4,4
807,4,1,1,7,3
808,2,1,1,2,2
809,2,1,1,3,2
810,1,1,1,2,1
811,2,1,1,4,2
812,1,1,1,3,3
813,1,1,1,2,2
814,1,1,1,2,2
815,2,1,1,2,1
816,1,1,1,2,2
817,1,1,1,1,1
818,1,1,1,3,1
819,1,1,1,1,1
820,1,1,1,2,2
821,1,1,1,3,2
822,2,1,1,2,2
823,1,1,1,2,2
824,1,1,1,2,1
825,1,1,1,1,1
826,2,1,1,2,1
827,3,1,1,4,1
828,1,1,1,2,2
829,2,1,1,5,5
830,2,1,1,4,4
831,2,1,1,6,3
832,2,1,1,2,1
833,1,1,1,2,2
834,4,1,1,7,2
835,3,1,2,8,4
836,1,1,1,1,1
837,2,1,1,2,1
838,1,1,1,1,1
839,1,1,1,2,2
840,1,1,1,2,1
841,1,1,1,2,2
842,2,1,1,13,11
843,4,1,1,7,3
844,1,1,1,2,2
845,2,1,1,5,5
846,1,1,1,2,2
847,2,1,1,4,1
848,1,1,1,3,2
849,3,1,1,6,5
850,2,1,1,3,3
851,2,1,1,2,2
852,2,1,1,5,4
853,2,1,1,2,1
854,3,1,2,4,3
855,2,1,1,4,4
856,2,1,1,4,2
857,1,1,1,1,1
858,1,1,1,1,1
859,3,1,1,4,2
860,1,1,1,2,2
861,2,1,2,2,2
862,1,1,1,1,1
863,2,1,1,3,3
864,1,1,1,2,2
865,3,1,3,3,1
866,1,1,1,2,1
867,3,1,2,7,1
868,2,1,1,2,2
869,1,1,1,1,1
870,2,1,1,2,1
871,2,1,1,4,3
872,1,1,1,4,3
873,3,1,1,4,3
874,2,1,1,2,2
875,1,1,1,2,2
876,2,1,1,2,2
877,2,1,2,6,3
878,1,1,1,1,1
879,2,1,1,2,1
880,2,1,1,2,2
881,1,1,1,1,1
882,1,1,1,1,1
883,1,1,1,1,1
884,3,1,2,8,2
885,2,1,1,4,2
886,2,1,1,2,2
887,2,1,1,6,4
888,1,1,1,2,1
889,2,1,1,11,11
890,3,1,1,4,3
891,2,1,1,6,5
892,2,1,1,2,1
893,2,1,1,4,4
894,1,1,1,2,2
895,2,1,1,2,2
896,1,1,1,2,1
897,2,1,1,4,4
898,1,1,1,3,1
899,2,1,1,6,5
900,1,1,1,2,2
901,1,1,1,4,3
902,1,1,1,2,2
903,1,1,1,2,2
904,1,1,1,2,1
905,2,1,1,7,6
906,1,1,1,2,2
907,1,1,1,1,1
908,2,1,2,3,3
909,1,1,1,2,2
910,2,1,1,5,4
911,3,1,1,6,5
912,1,1,1,2,2
913,2,1,1,6,5
914,2,1,2,1,1
915,1,1,1,2,2
916,2,1,1,8,1
917,2,1,1,2,1
918,2,1,1,2,1
919,3,1,1,4,3
920,2,1,1,2,2
921,1,1,1,2,2
922,2,1,2,4,2
923,2,1,1,6,1
924,2,1,1,4,4
925,2,1,1,2,1
926,1,1,1,2,1
927,1,1,1,2,1
928,1,1,1,2,2
929,2,1,1,4,3
930,1,1,1,2,2
931,1,1,1,2,1
932,2,1,1,4,3
933,2,1,2,4,2
934,2,1,1,4,2
935,2,1,1,2,2
936,1,1,1,1,1
937,2,1,1,4,4
938,1,1,1,2,2
939,1,1,1,2,2
940,1,1,1,1,1
941,3,1,2,6,3
942,2,1,1,2,2
943,1,1,1,1,1
944,2,1,1,6,4
945,2,1,1,4,2
946,2,1,1,2,1
947,1,1,1,2,1
948,1,1,1,3,3
949,1,1,1,3,1
950,2,1,1,6,3
951,1,1,1,1,1
952,2,1,2,4,2
953,1,1,1,1,1
954,2,1,2,3,1
955,2,1,1,3,1
956,1,1,1,2,2
957,1,1,1,2,2
958,2,1,1,4,2
959,1,1,1,2,2
960,2,1,1,4,4
961,1,1,1,3,3
962,2,1,1,4,3
963,2,1,2,3,1
964,1,1,1,2,2
965,2,1,1,4,3
966,2,1,1,6,6
967,3,1,1,6,4
968,3,1,1,4,1
969,1,1,1,1,1
970,2,1,1,3,2
971,2,1,1,5,4
972,1,1,1,2,1
973,2,1,1,2,1
974,2,1,1,4,4
975,1,1,1,2,2
976,2,1,1,2,1
977,2,1,2,3,3
978,3,1,3,3,2
979,1,1,1,2,2
980,2,1,1,4,3
981,2,1,2,1,1
982,1,1,1,1,1
983,2,1,1,2,2
984,2,1,1,2,2
985,1,1,1,2,2
986,2,1,1,2,2
987,2,1,2,2,2
988,1,1,1,2,2
989,2,1,2,3,2
990,2,1,1,5,2
991,1,1,1,2,2
992,1,1,1,2,1
993,1,1,1,1,1
994,3,1,2,4,3
995,1,1,1,1,1
996,2,1,1,2,2
997,3,1,2,5,3
998,1,1,1,2,1
999,1,1,1,3,2
1000,1,1,1,3,3
1001,1,1,1,2,1
1002,1,1,1,2,2
1003,2,1,1,2,1
1004,2,1,2,3,1
1005,1,1,1,2,1
1006,1,1,1,1,1
1007,1,1,1,1,1
1008,1,1,1,2,1
1009,1,1,1,1,1
1010,1,1,1,2,1
1011,1,1,1,2,2
1012,2,1,1,4,2
1013,3,1,1,4,3
1014,3,1,1,4,3
1015,2,1,2,2,2
1016,2,1,1,2,1
1017,1,1,1,1,1
1018,1,1,1,4,4
1019,2,1,1,2,1
1020,2,1,1,4,2
1021,2,1,1,2,2
1022,2,1,2,4,3
1023,1,1,1,4,2
1024,1,1,1,3,1
1025,2,1,2,3,1
1026,1,1,1,2,2
1027,2,1,1,6,2
1028,2,1,1,3,1
1029,2,1,1,4,3
1030,1,1,1,4,2
1031,1,1,1,3,3
1032,2,1,1,2,2
1033,2,1,1,2,1
1034,1,1,1,2,1
1035,4,1,3,3,2
1036,2,1,2,2,1
1037,2,1,1,2,2
1038,2,1,1,2,1
1039,2,1,1,6,5
1040,2,1,1,2,1
1041,1,1,1,2,2
1042,2,1,1,2,1
1043,3,1,2,7,6
1044,1,1,1,2,1
1045,1,1,1,2,2
1046,1,1,1,2,2
1047,2,1,1,4,4
1048,1,1,1,2,2
1049,2,1,1,3,2
1050,2,1,2,3,2
1051,2,1,1,4,4
1052,1,1,1,2,1
1053,1,1,1,1,1
1054,1,1,1,1,1
1055,2,1,1,4,3
1056,3,1,1,3,2
1057,2,1,2,1,1
1058,2,1,1,4,1
1059,2,1,1,8,2
1060,1,1,1,2,1
1061,1,1,1,2,2
1062,1,1,1,2,1
1063,2,1,2,3,3
1064,2,1,1,4,3
1065,1,1,1,2,2
1066,2,1,1,6,2
1067,2,1,1,6,4
1068,1,1,1,1,1
1069,2,1,1,5,3
1070,1,1,1,1,1
1071,2,1,1,2,1
1072,1,1,1,2,2
1073,1,1,1,2,2
1074,2,1,2,2,1
1075,2,1,1,2,2
1076,2,1,1,2,2
1077,2,1,1,2,1
1078,1,1,1,2,2
1079,2,1,1,2,2
1080,1,1,1,2,1
1081,2,1,1,4,4
1082,2,1,1,4,4
1083,2,1,1,6,6
1084,1,1,1,1,1
1085,2,1,1,5,5
1086,1,1,1,1,1
1087,1,1,1,2,2
1088,2,1,1,1,1
1089,2,1,1,2,1
1090,2,1,1,2,1
1091,2,1,2,2,1
1092,1,1,1,1,1
1093,1,1,1,2,1
1094,2,1,1,2,2
1095,1,1,1,1,1
1096,1,1,1,2,2
1097,2,1,1,6,3
1098,1,1,1,2,1
1099,2,1,1,2,1
1100,2,1,1,11,7
1101,2,1,1,4,3
1102,1,1,1,2,2
1103,3,1,1,4,2
1104,3,1,2,6,4
1105,2,1,1,3,1
1106,2,1,1,4,4
1107,2,1,1,4,3
1108,3,1,1,7,3
1109,2,1,2,3,1
1110,1,1,1,2,2
1111,1,1,1,1,1
1112,2,1,2,2,2
1113,2,1,1,3,3
1114,2,1,1,3,3
1115,2,1,1,2,2
1116,2,1,1,5,1
1117,1,1,1,1,1
1118,2,1,1,4,1
1119,2,1,1,2,2
1120,1,1,1,2,1
1121,1,1,1,3,3
1122,1,1,1,1,1
1123,1,1,1,1,1
1124,2,1,1,4,2
1125,2,1,2,2,2
1126,2,1,1,6,3
1127,1,1,1,2,2
1128,3,1,1,5,2
1129,2,1,1,2,2
1130,3,1,3,5,2
1131,2,1,1,14,13
1132,1,1,1,3,3
1133,1,1,1,2,2
1134,1,1,1,2,2
1135,1,1,1,2,1
1136,2,1,1,2,1
1137,1,1,1,1,1
1138,2,1,1,3,3
1139,1,1,1,2,1
1140,3,1,2,4,4
1141,2,1,1,2,2
1142,2,1,1,6,5
1143,1,1,1,2,2
1144,2,1,1,4,4
1145,1,1,1,2,1
1146,2,1,1,2,1
1147,2,1,1,2,1
1148,2,1,1,5,1
1149,1,1,1,2,2
