id,mean_et,mean_st,mean_rt,mean_lf,mean_vol
300,18.6666666666667,2,7.5,201,1.33333333333333
301,26.6666666666667,1,5,187.6,81.2
302,34.5,2,2,272,1
303,34.5,2,2,285.666666666667,54
304,34.5,2,2,272,8.5
305,11,1,8,127,1
306,43,1,2,330.5,12.3333333333333
307,12.6666666666667,1,6,151.142857142857,7.57142857142857
308,11,1,8,117.75,7.75
309,16,1,6.66666666666667,126.833333333333,8.33333333333333
310,15,2,8,142.5,10.5
311,18.75,1,5.66666666666667,162.5,1.25
312,11,1,8,126.75,1
313,11,1,8,112,2
314,34.5,2,2,272,7.5
315,12.5,2,6,104.75,1.5
316,13,1,8,109,4
317,29.6666666666667,1,2,250.833333333333,1.5
318,34.5,2,2,272,6
319,11,1,8,136,4
320,13,1,8,131.4,28.4
321,15,2,8,142.5,2
322,15,2,8,118.666666666667,9
323,15,2,8,142.5,6
324,11,2,8,55,1
325,13,1,8,109,7.75
326,34.5,2,2,272.5,1.75
327,34.5,2,2,272,21
328,20,1,2,176.5,1
329,15,2,8,142.5,33
330,34.5,2,2,291,1
331,34.5,2,2,272,20
332,34.5,2,2,272,118
333,12,1,7,170.5,1
334,18.6666666666667,2,7.5,200,1.5
335,34.5,2,2,272,4
336,10.5,2,5.5,70.75,2
337,11,1,8,112,2.5
338,54,4,2,361,1
339,18,1,5.25,223.5,1.33333333333333
340,13,1,8,142.5,23.5
341,34.5,2,2,273.333333333333,4.66666666666667
342,15,2,8,142.5,35
343,34.5,2,2,273,7
344,34.5,2,2,273.4,16.6666666666667
345,43,1,2,330.5,6
346,11,1,8,134,3.5
347,26.6666666666667,2,5,237.25,1.5
348,13,1,8,142.5,9.5
349,34.5,2,2,272,5
350,11,1,8,134,2.5
351,34.5,2,2,283.666666666667,1.66666666666667
352,34.5,2,2,278.142857142857,7.85714285714286
353,34.5,2,2,270.666666666667,62
354,34.5,2,2,253,1
355,13,1,8,142.5,8
356,29.6666666666667,1,2,218.75,2.5
357,43,1,2,330.5,14.3333333333333
358,11,1,8,140.5,1
359,11,1,8,54,2
360,15,2,8,142.5,7
361,34.5,2,2,272,3
362,34.5,2,2,272,1
363,13,1,8,132,5
364,34.5,2,2,272,1
365,15,2,8,132,2
366,18,1,5.66666666666667,183.5,1.75
367,12,1,7,170.5,1
368,34.5,2,2,285.666666666667,1
369,11,1,8,112,2
370,34.5,2,2,272,1
371,20,1,2,134,2
372,13,1,8,121,1.66666666666667
373,15,2,8,142.5,8
374,34.5,2,2,269.5,1.5
375,13,1,8,126.6,24.8
376,15,2,8,142.5,13.5
377,11,1,8,130.5,4.5
378,15,2,8,141.5,3.75
379,13,1,8,72,97
380,34.5,2,2,273.666666666667,6
381,11,1,8,172,2
382,34.5,2,2,272,3
383,23,4,7,306,2
384,34.5,2,2,269.5,1
385,13,1,8,137.25,10.5
386,13,1,8,127,14.4
387,32.5,2,5,113,1
388,34.5,2,2,273.333333333333,4.66666666666667
389,15,2,8,76.5,2.5
390,34.5,2,2,272,4
391,34.5,2,2,264,1.6
392,15,2,8,69,1.5
393,43,1,2,321.6,1.4
394,11,1,8,188.5,12.5
395,13,1,8,137.25,5.5
396,15,2,8,142.5,11.5
397,11,1,8,99.5,2
398,32.5,1,5,113,1.5
399,13,1,8,142.5,5.5
400,11,1,8,112,2.5
401,11,1,8,130.5,3
402,20,1,2,176.5,1.5
403,43,1,2,338.6,5
404,35,4,2,314,1
405,34.5,2,2,272,18.5
406,17.1666666666667,1,5.4,237.142857142857,1.57142857142857
407,27.5,1,2,254.6,1.6
408,20,1,2,176.5,1
409,13,1,8,132,2.5
410,34.5,2,2,272,4.5
411,13,1,8,138.333333333333,5.5
412,12,1,7,170.5,3
413,21.5,1,8,148.714285714286,2.85714285714286
414,12,1,7,216.25,1.75
415,11,1,8,127.75,10.5
416,13,1,8,137.25,6.75
417,18.6666666666667,2,7.5,201,1.33333333333333
418,34.5,2,2,273.333333333333,7.5
419,13,1,8,142.5,6
420,18.6666666666667,1,7.5,187.666666666667,1.33333333333333
421,11,1,8,134,7.5
422,34.5,2,2,273,1
423,15,2,8,80,1
424,34.5,2,2,271.666666666667,8.33333333333333
425,34.5,2,2,272,3
426,34.5,2,2,270.666666666667,3.33333333333333
427,34.5,2,2,274,16
428,38.5,1,7.5,264.5,1
429,11,1,8,134,53
430,13,1,8,118.666666666667,19
431,20,1,2,176.5,1
432,34.5,2,2,272,6.5
433,29.6666666666667,1,2,264.444444444444,1
434,34.5,2,2,278.142857142857,47
435,34.5,2,2,272,2
436,34.5,2,2,272,5
437,11,1,8,140.5,1
438,15,2,8,118.666666666667,16.6666666666667
439,24,1,2,278.5,1
440,27.5,1,2,218,1
441,13,1,8,138,16.25
442,10.5,2,5.5,104.5,2
443,29.6666666666667,1,2,239.6,2.8
444,34.5,2,2,269,2
445,11,1,8,117,2
446,12,1,7,165.666666666667,1
447,29.6666666666667,1,2,218.75,1
448,13,1,8,137.25,14.75
449,13,1,8,71,9
450,34.5,2,2,271.666666666667,41.5
451,14,1,8,225.75,1.5
452,15,2,8,142.5,4
453,11,2,8,54,5
454,15,2,8,82,4
455,34.5,2,2,281.6,1.6
456,35,4,2,309.5,3
457,43,1,2,329.5,13
458,43,1,2,330.5,41.1666666666667
459,34.5,2,2,273.333333333333,2.66666666666667
460,15,2,8,142.5,11.5
461,12.5,1,6,127.142857142857,6
462,13,1,8,138.333333333333,5.33333333333333
463,34.5,2,2,272,2
464,15,2,8,77.6666666666667,8
465,15,2,8,142.5,29
466,11,1,8,112,2.5
467,13,1,8,142.5,26
468,34.5,2,2,272,2.5
469,34.5,2,2,269,32
470,16,2,6.33333333333333,180,1
471,11,1,8,56,1
472,34.5,2,2,265,4.2
473,15,2,8,142.5,9.5
474,34.5,2,2,272,5
475,20,1,2,176.5,3
476,13,1,8,137.166666666667,16.1666666666667
477,15,2,8,142.5,12.5
478,15,2,8,142.5,9
479,11,1,8,127,1
480,42,2,2,283,1
481,11,1,8,185.333333333333,9.66666666666667
482,20,1,2,219,1
483,34.5,2,2,272,1
484,13,1,8,136.25,4
485,11,2,8,130.5,2
486,13,1,8,137.25,5.5
487,11,1,8,125.666666666667,22.3333333333333
488,35,4,2,301,2
489,11,2,8,113,1
490,34.5,2,2,276.714285714286,11.2857142857143
491,13,1,8,105.333333333333,1.66666666666667
492,11,2,8,112,1
493,34.5,2,2,272,6.5
494,38.5,3,2,188,77
495,15,2,8,142.5,10
496,34.5,2,2,269,24
497,34.5,2,2,269.5,2.5
498,11,1,8,82,2
499,43,1,2,330.5,8.33333333333333
500,35,4,2,312,1
501,34.5,2,2,266.5,1.5
502,22,1,5,207.833333333333,1
503,15,2,8,142.5,12.5
504,13,1,8,142.5,10.5
505,15,2,8,82,14
506,11,1,8,112,12.5
507,43,4,2,373,2
508,11,1,8,181,1
509,11,1,8,130.5,1.5
510,11,2,8,73,1
511,34.5,2,2,272,16
512,34.5,2,2,272,1
513,13,1,8,141.5,7.75
514,34.5,2,2,269.5,1
515,34.5,2,2,275,2
516,34.5,2,2,272,11
517,13,1,8,131.4,65
518,27.5,1,2,263,1
519,34.5,2,2,253,1
520,15,2,8,137.25,25.5
521,34.5,2,2,282.5,2
522,27.4,1,5,235.3,1.5
523,11,1,8,112,22.5
524,34.5,2,2,271,1
525,12,1,7,173.333333333333,1.66666666666667
526,12,1,7,170.5,6
527,13,1,8,132,4.5
528,13,1,8,138.333333333333,12.1666666666667
529,11,1,8,70,4
530,43,1,2,329.5,9.5
531,34.5,2,2,270.75,29.875
532,11,1,8,134,1
533,35,4,2,312,1
534,34.5,2,2,261,1.5
535,12,1,7,165.666666666667,1
536,34.5,2,2,272,11
537,12,1,7,197.333333333333,1.66666666666667
538,14.5,1,9,162,1
539,13,1,8,137.25,7
540,11,1,8,134,8.5
541,34.5,2,2,285.666666666667,5
542,22,4,7,262.5,1
543,15,2,8,142.5,9
544,11,1,8,112,1
545,12.5,2,6,112,4
546,11,1,8,119,1.5
547,34.5,2,2,272,15.5
548,34.5,2,2,272,1
549,34.5,2,2,278.411764705882,33.8823529411765
550,11,1,8,112,6.5
551,34.5,2,2,274,12.5
552,11,1,8,170,1
553,13,1,8,142.5,26.5
554,11,1,8,187,2.5
555,15,2,8,142.5,19
556,11,1,8,68,8
557,34.5,2,2,272,1.5
558,11,1,8,170,4
559,35,4,2,94,1
560,15,2,8,82,34
561,43,1,2,260.5,88.1666666666667
562,34.5,2,2,273.333333333333,5.66666666666667
563,43.375,1,2,310.125,10
564,11,2,8,134,3
565,11,1,8,141.5,4
566,15,2,8,141.5,5.5
567,13,1,8,138.333333333333,11
568,14,1,8,203.666666666667,1
569,34.5,2,2,288,1.25
570,11,1,8,112,1.5
571,12,1,7,207,3.6
572,34.5,2,2,272,4
573,34.5,2,2,270.666666666667,3
574,11,2,8,119.5,1
575,11,1,8,112,5
576,34.5,2,2,272,2.5
577,34.5,2,2,273,6.5
578,11,1,8,56.6666666666667,157.666666666667
579,34.5,2,2,272,9.2
580,34.5,2,2,272.5,3
581,15,2,8,80,1
582,15,2,8,142.5,4
583,50,1,2,289,1
584,11,1,8,141.5,3.5
585,15,2,8,82,4
586,11,1,8,63,1
587,12,1,7,216.25,4
588,13,1,8,141.5,5
589,11,1,8,112,6.5
590,15,2,8,140.5,2.5
591,34.5,2,2,271.75,6.375
592,13,1,3.66666666666667,150.333333333333,5.33333333333333
593,15,2,8,142.5,2.5
594,15,2,8,137.25,8.75
595,15,2,8,142.5,30.5
596,9.5,1,5,123.5,3.5
597,11,1,8,112,2
598,34.5,2,2,278.142857142857,3.14285714285714
599,20,1,2,134,1
600,34.5,2,2,274,3.25
601,37,1,2,176.5,2
602,15,2,8,51,1
603,34.5,2,2,274.384615384615,9.38461538461539
604,34.5,2,2,274.714285714286,1.28571428571429
605,15,2,8,82,5
606,13,1,8,137.25,6.25
607,25.5,2,5,194,1
608,15,2,8,121.666666666667,5.33333333333333
609,34.5,2,2,272,1
610,12,1,7,216.25,2
611,11,1,8,97.3333333333333,1.66666666666667
612,34.5,2,2,272,1
613,34.5,2,2,281.6,2.2
614,34.5,2,2,270.666666666667,1.83333333333333
615,34.5,2,2,272,4
616,11,1,8,95.25,3.5
617,15.8,1,7,217.7,1
618,34.5,2,2,271.142857142857,31.4285714285714
619,11,1,8,113,8
620,13,1,8,142.5,68
621,12.5,1,6,105,4
622,18.6666666666667,2,7.5,200,1
623,15,2,8,82,19
624,34,2,2,229.5,1
625,11,1,8,168.714285714286,2.28571428571429
626,34.5,2,2,272,39.8888888888889
627,13,1,8,140.5,2
628,15,2,8,68,4
629,26.6666666666667,1,8,118.666666666667,4.66666666666667
630,34.5,2,2,272,5
631,13,1,8,138.333333333333,8
632,11,1,8,146.5,1.5
633,34.5,2,2,272,12.5
634,13,1,8,132,7.5
635,13,1,8,115.333333333333,34.3333333333333
636,34.5,2,2,272,1
637,35,4,2,314,1
638,34.5,2,2,271.5,1.5
639,29,1,9,174.5,4
640,12,1,7,182,2
641,23,2,5,189.333333333333,1
642,32.5,1,5,112,2
643,15,2,8,121.666666666667,27.6666666666667
644,34.5,2,2,272,5
645,46.5,1,2,284.5,229.5
646,34.5,2,2,272.333333333333,7.33333333333333
647,15,2,8,142.5,6
648,34.5,2,2,269.5,2.75
649,34.5,2,2,272,1
650,11,1,8,54,1
651,34.5,2,2,272,4.5
652,11,1,8,53,1
653,26.6666666666667,1,5,140.5,2.5
654,11,1,8,112,1
655,11,1,8,144.333333333333,1.66666666666667
656,34.5,2,2,269,25.75
657,43,1,2,330.5,20.3333333333333
658,23.2,1,6.33333333333333,170.333333333333,3.66666666666667
659,35,4,2,312,1
660,34.5,2,2,295.8,1.6
661,14,1,8,236.5,1.75
662,34.5,2,2,272,39
663,34.5,1,5,141.5,10.75
664,13,1,8,141.5,8
665,15,2,8,141.5,4
666,27.5,1,2,218,1
667,34.5,2,2,281,18.2
668,34.5,2,2,272,1
669,34.5,2,2,272,3
670,13,1,8,109,1.5
671,35,4,2,312,1
672,34.5,2,2,272,1
673,15,2,8,142.5,8.5
674,20,1,2,176.5,1
675,15,2,8,118.666666666667,4
676,11,1,8,115.25,3
677,20,1,2,176.5,1
678,34.5,2,2,270.666666666667,1.33333333333333
679,13,1,8,118.666666666667,8
680,34.5,2,2,272,58
681,11,1,8,130.5,5.5
682,34.5,2,2,272,7
683,11,1,8,113,1.5
684,13,1,8,142.5,27.5
685,13,1,8,130.666666666667,30.6666666666667
686,11,1,8,130.5,3
687,43,1,2,329.5,4.5
688,34.5,2,2,272,91.5
689,43,1,2,329.5,6
690,11,1,8,112,1
691,15,2,8,140.5,2.5
692,26.6666666666667,1,5,132,9.5
693,34.5,1,5,141.5,4.75
694,32.5,1,5,112,3
695,11,1,8,134,1.5
696,15,2,8,141.5,6.25
697,43,1,2,329.5,12.75
698,13,1,8,137.25,18
699,13,1,8,129.5,3.5
700,11,1,8,170,2
701,11,1,8,136,2.5
702,10,1,4.5,108.5,4.25
703,34.5,2,2,273.333333333333,2.33333333333333
704,23,4,7,306,2
705,32,4,8,280,2
706,11,1,8,137.75,2.5
707,34.5,2,2,272,2
708,15,2,8,142.5,18
709,11,1,8,87,1
710,15,2,8,142.5,8
711,15.5,1,5,94,2.5
712,20,1,2,176.5,2
713,34.5,2,2,271.5,1.5
714,13,1,8,132,2.5
715,34.5,2,2,272,10.5
716,43,1,2,338.6,4
717,35,4,2,314,1
718,26.6666666666667,2,5,163.75,20.5
719,13,1,8,129.5,6.16666666666667
720,34.5,2,2,272,1
721,15,2,8,82,14
722,13,1,8,140.5,2.5
723,27.5,1,2,218,1.33333333333333
724,34.5,2,2,273.333333333333,64.1666666666667
725,13,1,8,140.5,6
726,20,1,2,176.5,1.5
727,34.5,2,2,272,22.5
728,11,1,8,135,2
729,12,1,7,210.5,1.5
730,17,2,7.5,192,1
731,29.6666666666667,1,2,250.833333333333,5
732,12.5,2,6,54,2
733,11,1,8,112,19.5
734,34.5,2,2,281,1.6
735,34.5,2,2,272.5,2.5
736,34.5,1,8,82,34
737,13,1,8,137.25,40.75
738,20,1,2,176.5,1
739,15,2,8,71,8
740,34.5,2,2,271.333333333333,1.33333333333333
741,11,1,8,188.5,1.5
742,13,1,8,115.333333333333,3.66666666666667
743,11,1,8,54,1
744,20,1,2,176.5,1
745,34.5,2,2,269.5,1
746,11,1,8,68,1
747,34.5,2,2,272,1
748,11,1,8,112,10.5
749,29.6666666666667,1,2,226,2.33333333333333
750,11,1,8,112,6
751,15,2,8,142.5,7
752,26.6666666666667,1,5,137.25,5
753,11,1,8,73,2
754,11,1,8,112,1
755,34.5,2,2,273.333333333333,3.83333333333333
756,34.5,2,2,270,1.5
757,11,2,8,55,1
758,12.5,2,6,68,2
759,45.1666666666667,1,2,302.666666666667,91.5
760,11,1,8,112,4
761,10.5,1,5.5,132.25,1
762,11,1,8,54,1
763,34.5,2,2,272,2
764,11,2,8,134,4.5
765,18.6666666666667,1,7.5,170.666666666667,6
766,34.5,2,2,278.142857142857,1.57142857142857
767,34.5,2,2,274,7.5
768,34.5,2,2,274,1.75
769,43,1,2,330.5,10.6666666666667
770,11,1,8,112,4.5
771,7,1,8,125.4,3.8
772,15,2,8,142.5,7.5
773,44.75,1,2,344.166666666667,1
774,34.5,2,2,272,7
775,11,1,8,136,9
776,11,2,8,141.5,4
777,20.5,1,8.5,182,2.66666666666667
778,11,1,8,56.6666666666667,285.666666666667
779,34.5,2,2,272,24
780,34.5,2,2,284.166666666667,1
781,15,2,8,82,6
782,13,1,8,142.5,78
783,11,1,8,170,1
784,34.5,2,2,272,11.5
785,34.5,2,2,272,1.9
786,34.5,2,2,272,31.5
787,44.75,1,2,316.166666666667,1
788,28,1,2,218.666666666667,1
789,15,2,8,142.5,6.5
790,15,2,8,142.5,9
791,38,2,2,277.5,5
792,34.5,2,2,272,3
793,11,1,8,134,1
794,11,1,8,141.5,5.25
795,15.5,1,5,162.25,1
796,13,1,8,141.5,6.25
797,34.5,2,2,271.75,21.125
798,15,2,8,142.5,15
799,34.5,2,2,269.5,2.5
800,34.5,2,2,272,1
801,35,4,2,301,7
802,13,1,8,137.25,12.25
803,11,1,8,127.25,1.75
804,29.6666666666667,1,2,218.666666666667,1
805,11,1,8,126.833333333333,2.83333333333333
806,9.5,1,5,124.25,5
807,43.5,1,2,325.142857142857,2.85714285714286
808,34.5,2,2,272,19
809,27.5,1,2,218,1.33333333333333
810,54,4,2,361,2
811,34.5,2,2,272.5,3
812,11,1,8,68.6666666666667,226
813,11,1,8,99.5,6
814,11,1,8,141.5,13.5
815,34.5,2,2,272,4
816,11,1,8,112,4
817,11,2,8,81,1
818,15,2,8,77.6666666666667,2
819,15,2,8,82,14
820,11,1,8,134,1.5
821,15,2,8,121.666666666667,11.6666666666667
822,34.5,2,2,275,199
823,50,1,2,331.5,3.5
824,11,4,8,112,1
825,38,4,2,317,1
826,34.5,2,2,272,17
827,29.6666666666667,1,2,218.75,1
828,15,2,8,142.5,5
829,34.5,2,2,279.4,31.6
830,34.5,2,2,272.5,59.75
831,34.5,2,2,285.833333333333,1.66666666666667
832,34.5,2,2,272,1
833,15,2,8,142.5,7
834,44.75,1,2,336.571428571429,1.42857142857143
835,13.3333333333333,1,5,143,3.375
836,35,4,2,312,1
837,34.5,2,2,272,16
838,15,2,8,82,12
839,11,1,8,140.5,2.5
840,10,4,3,96.5,1
841,11,1,8,112,1.5
842,34.5,2,2,274.846153846154,33.1538461538462
843,43.5,1,2,337.714285714286,2.85714285714286
844,54,4,2,361,2.5
845,13,1,8,125.8,19
846,15,2,8,142.5,6
847,6.5,1,8,108.25,1
848,11,1,8,125.666666666667,6
849,29.6666666666667,1,2,253.166666666667,4.83333333333333
850,13,1,8,121.666666666667,10
851,34.5,2,2,272,2
852,34.5,2,2,281,3.6
853,34.5,2,2,272,16
854,26.6666666666667,1,5,127.25,4
855,13,1,8,141.5,18.5
856,34.5,2,2,269.5,1.25
857,10,5,3,153,1
858,11,1,8,54,2
859,29.6666666666667,1,2,218.75,1.25
860,11,1,8,112,2
861,12.5,1,6,112,8
862,11,1,8,170,12
863,13,1,8,97,4.66666666666667
864,11,1,8,134,10
865,29.3333333333333,1,5.66666666666667,194.333333333333,1
866,11,4,8,109,1
867,26.6666666666667,2,5,196.571428571429,1
