id,max_et,max_st,max_rt,max_lf,max_vol
345,44,1,2,376,9
346,11,1,8,195,5
347,35,2,8,309,2
348,15,1,8,203,12
349,35,2,2,312,7
350,11,1,8,195,3
351,35,2,2,312,3
352,35,2,2,315,13
353,35,2,2,313,136
354,35,2,2,312,1
355,15,1,8,203,14
356,35,1,2,301,3
357,44,1,2,376,21
358,11,1,8,201,1
359,11,1,8,54,2
360,15,2,8,203,8
361,35,2,2,312,4
362,35,2,2,312,1
363,15,1,8,193,5
364,35,2,2,312,1
365,15,2,8,193,2
366,23,1,8,306,4
367,13,1,8,273,1
368,35,2,2,313,1
369,11,1,8,170,2
370,35,2,2,312,1
371,20,1,2,134,2
372,15,1,8,201,2
373,15,2,8,203,10
374,35,2,2,312,2
375,15,1,8,201,76
376,15,2,8,203,18
377,11,1,8,191,6
378,15,2,8,203,10
379,15,1,8,111,151
380,35,2,2,315,15
381,11,1,8,172,2
382,35,2,2,312,3
383,23,4,7,306,2
384,35,2,2,312,1
385,15,1,8,203,23
386,15,1,8,203,52
387,54,2,8,171,1
388,35,2,2,315,7
389,15,2,8,82,4
390,35,2,2,312,4
391,35,2,2,315,3
392,15,2,8,82,2
393,44,1,2,376,2
394,11,1,8,207,24
395,15,1,8,203,10
396,15,2,8,203,12
397,11,1,8,157,3
398,54,1,8,171,2
399,15,1,8,203,8
400,11,1,8,170,3
401,11,1,8,191,3
402,20,1,2,219,2
403,44,1,2,376,6
404,35,4,2,315,1
405,35,2,2,312,20
406,23,1,8,345,4
407,35,1,2,312,2
408,20,1,2,219,1
409,15,1,8,193,3
410,35,2,2,312,5
411,15,1,8,203,18
412,13,1,8,273,4
413,32,1,8,280,7
414,13,1,8,345,2
415,11,1,8,204,19
416,15,1,8,203,20
417,23,2,8,306,2
418,35,2,2,315,13
419,15,1,8,203,6
420,23,1,8,306,2
421,11,1,8,195,8
422,35,2,2,313,1
423,15,2,8,80,1
424,35,2,2,314,22
425,35,2,2,312,4
426,35,2,2,313,5
427,35,2,2,314,18
428,54,1,8,306,1
429,11,1,8,195,69
430,15,1,8,203,42
431,20,1,2,219,1
432,35,2,2,312,7
433,35,1,2,314,1
434,35,2,2,315,202
435,35,2,2,312,2
436,35,2,2,312,5
437,11,1,8,201,1
438,15,2,8,203,28
439,24,1,2,318,1
440,35,1,2,301,1
441,15,1,8,203,41
442,11,2,8,154,3
443,35,1,2,312,6
444,35,2,2,310,3
445,11,1,8,182,3
446,13,1,8,273,1
447,35,1,2,301,1
448,15,1,8,203,25
449,15,1,8,71,9
450,35,2,2,314,60
451,18,1,10,321,2
452,15,2,8,203,6
453,11,2,8,54,5
454,15,2,8,82,4
455,35,2,2,315,2
456,35,4,2,312,3
457,44,1,2,376,20
458,44,1,2,376,53
459,35,2,2,315,3
460,15,2,8,203,18
461,14,1,8,190,13
462,15,1,8,203,13
463,35,2,2,312,2
464,15,2,8,82,12
465,15,2,8,203,42
466,11,1,8,170,3
467,15,1,8,203,32
468,35,2,2,312,3
469,35,2,2,310,34
470,23,2,8,306,1
471,11,1,8,56,1
472,35,2,2,313,7
473,15,2,8,203,10
474,35,2,2,312,5
475,20,1,2,219,3
476,15,1,8,203,40
477,15,2,8,203,23
478,15,2,8,203,14
479,11,1,8,188,1
480,42,2,2,283,1
481,11,1,8,201,20
482,20,1,2,219,1
483,35,2,2,312,1
484,15,1,8,201,7
485,11,2,8,191,2
486,15,1,8,203,7
487,11,1,8,195,35
488,35,4,2,301,2
489,11,2,8,171,1
490,35,2,2,314,31
491,15,1,8,193,2
492,11,2,8,170,1
493,35,2,2,312,7
494,40,3,2,366,147
495,15,2,8,203,14
496,35,2,2,310,26
497,35,2,2,312,3
498,11,1,8,82,2
499,44,1,2,376,10
500,35,4,2,312,1
501,35,2,2,312,2
502,35,1,8,312,1
503,15,2,8,203,24
504,15,1,8,203,11
505,15,2,8,82,14
506,11,1,8,170,13
507,44,4,2,376,2
508,11,1,8,181,1
509,11,1,8,191,2
510,11,2,8,73,1
511,35,2,2,312,16
512,35,2,2,312,1
513,15,1,8,203,14
514,35,2,2,312,1
515,35,2,2,315,2
516,35,2,2,312,12
517,15,1,8,203,145
518,35,1,2,307,1
519,35,2,2,312,1
520,15,2,8,203,78
521,35,2,2,312,3
522,36,1,8,315,2
523,11,1,8,170,24
524,35,2,2,314,1
525,13,1,8,273,2
526,13,1,8,273,10
527,15,1,8,193,7
528,15,1,8,203,28
529,11,1,8,70,4
530,44,1,2,376,16
531,35,2,2,314,69
532,11,1,8,195,1
533,35,4,2,312,1
534,35,2,2,301,2
535,13,1,8,273,1
536,35,2,2,312,11
537,13,1,8,345,2
538,18,1,10,256,1
539,15,1,8,203,16
540,11,1,8,195,10
541,35,2,2,313,8
542,22,4,7,303,1
543,15,2,8,203,10
544,11,1,8,170,1
545,14,2,8,170,7
546,11,1,8,170,2
547,35,2,2,312,16
548,35,2,2,312,1
549,35,2,2,316,164
550,11,1,8,170,7
551,35,2,2,315,19
552,11,1,8,170,1
553,15,1,8,203,38
554,11,1,8,204,3
555,15,2,8,203,27
556,11,1,8,68,8
557,35,2,2,312,2
558,11,1,8,170,4
559,35,4,2,94,1
560,15,2,8,82,34
561,44,1,2,376,190
562,35,2,2,315,10
563,53,1,2,378,27
564,11,2,8,195,3
565,11,1,8,202,4
566,15,2,8,203,10
567,15,1,8,203,38
568,18,1,10,273,1
569,35,2,2,312,2
570,11,1,8,170,2
571,13,1,8,345,9
572,35,2,2,312,4
573,35,2,2,313,6
574,11,2,8,171,1
575,11,1,8,170,5
576,35,2,2,312,3
577,35,2,2,313,8
578,11,1,8,101,283
579,35,2,2,315,37
580,35,2,2,313,4
581,15,2,8,80,1
582,15,2,8,203,4
583,50,1,2,289,1
584,11,1,8,202,4
585,15,2,8,82,4
586,11,1,8,63,1
587,13,1,8,345,7
588,15,1,8,203,6
589,11,1,8,170,7
590,15,2,8,201,3
591,35,2,2,315,12
592,20,1,8,219,10
593,15,2,8,203,4
594,15,2,8,203,22
595,15,2,8,203,60
596,11,1,8,195,4
597,11,1,8,170,3
598,35,2,2,315,6
599,20,1,2,134,1
600,35,2,2,315,4
601,54,1,2,219,2
602,15,2,8,51,1
603,35,2,2,316,47
604,35,2,2,312,2
605,15,2,8,82,5
606,15,1,8,203,14
607,40,2,8,194,1
608,15,2,8,203,13
609,35,2,2,312,1
610,13,1,8,345,2
611,11,1,8,170,3
612,35,2,2,312,1
613,35,2,2,315,4
614,35,2,2,313,4
615,35,2,2,312,4
616,11,1,8,173,11
617,23,1,10,345,1
618,35,2,2,315,109
619,11,1,8,171,8
620,15,1,8,203,75
621,14,1,8,163,6
622,23,2,8,306,1
623,15,2,8,82,19
624,34,2,2,232,1
625,11,1,8,209,6
626,35,2,2,316,107
627,15,1,8,201,3
628,15,2,8,68,4
629,54,1,8,203,10
630,35,2,2,312,5
631,15,1,8,203,32
632,11,1,8,206,2
633,35,2,2,312,13
634,15,1,8,193,13
635,15,1,8,193,101
636,35,2,2,312,1
637,35,4,2,315,1
638,35,2,2,315,2
639,29,1,9,217,4
640,13,1,8,345,3
641,35,2,8,312,1
642,54,1,8,170,2
643,15,2,8,203,50
644,35,2,2,312,5
645,47,1,2,285,230
646,35,2,2,315,19
647,15,2,8,203,8
648,35,2,2,312,3
649,35,2,2,312,1
650,11,1,8,54,1
651,35,2,2,312,5
652,11,1,8,53,1
653,54,1,8,201,3
654,11,1,8,170,1
655,11,1,8,209,2
656,35,2,2,310,29
657,44,1,2,376,31
658,30,1,9,319,6
659,35,4,2,312,1
660,35,2,2,315,2
661,18,1,10,340,2
662,35,2,2,312,40
663,54,1,8,203,27
664,15,1,8,203,19
665,15,2,8,203,7
666,35,1,2,301,1
667,35,2,2,315,43
668,35,2,2,312,1
669,35,2,2,312,3
670,15,1,8,167,2
671,35,4,2,312,1
672,35,2,2,312,1
673,15,2,8,203,12
674,20,1,2,219,1
675,15,2,8,203,6
676,11,1,8,170,5
677,20,1,2,219,1
678,35,2,2,313,2
679,15,1,8,203,21
680,35,2,2,312,58
681,11,1,8,191,6
682,35,2,2,312,7
683,11,1,8,171,2
684,15,1,8,203,36
685,15,1,8,201,52
686,11,1,8,191,5
687,44,1,2,376,5
688,35,2,2,312,101
689,44,1,2,376,8
690,11,1,8,170,1
691,15,2,8,201,4
692,54,1,8,193,11
693,54,1,8,203,10
694,54,1,8,170,3
695,11,1,8,195,2
696,15,2,8,203,14
697,44,1,2,376,18
698,15,1,8,203,41
699,15,1,8,203,10
700,11,1,8,170,2
701,11,1,8,202,5
702,15,1,8,203,10
703,35,2,2,315,3
704,23,4,7,306,2
705,32,4,8,280,2
706,11,1,8,202,4
707,35,2,2,312,3
708,15,2,8,203,32
709,11,1,8,87,1
710,15,2,8,203,12
711,20,1,8,134,4
712,20,1,2,219,2
713,35,2,2,315,2
714,15,1,8,193,3
715,35,2,2,312,11
716,44,1,2,376,4
717,35,4,2,315,1
718,35,2,8,312,40
719,15,1,8,203,16
720,35,2,2,312,1
721,15,2,8,82,14
722,15,1,8,201,3
723,35,1,2,301,2
724,35,2,2,315,114
725,15,1,8,201,9
726,20,1,2,219,2
727,35,2,2,312,23
728,11,1,8,196,2
729,13,1,8,345,2
730,23,2,8,306,1
731,35,1,2,312,13
732,14,2,8,54,2
733,11,1,8,170,23
734,35,2,2,315,3
735,35,2,2,313,3
736,54,1,8,82,34
737,15,1,8,203,75
738,20,1,2,219,1
739,15,2,8,71,8
740,35,2,2,315,2
741,11,1,8,207,2
742,15,1,8,193,4
743,11,1,8,54,1
744,20,1,2,219,1
745,35,2,2,312,1
746,11,1,8,68,1
747,35,2,2,312,1
748,11,1,8,170,11
749,35,1,2,312,3
750,11,1,8,170,6
751,15,2,8,203,12
752,54,1,8,203,12
753,11,1,8,73,2
754,11,1,8,170,1
755,35,2,2,315,8
756,35,2,2,312,2
757,11,2,8,55,1
758,14,2,8,68,2
759,50,1,2,375,274
760,11,1,8,170,5
761,11,1,8,171,1
762,11,1,8,54,1
763,35,2,2,312,2
764,11,2,8,195,7
765,23,1,8,306,10
766,35,2,2,315,2
767,35,2,2,314,8
768,35,2,2,315,3
769,44,1,2,376,13
770,11,1,8,170,5
771,11,1,8,191,8
772,15,2,8,203,10
773,50,1,2,376,1
774,35,2,2,312,7
775,11,1,8,202,13
776,11,2,8,202,4
777,30,1,9,218,6
778,11,1,8,101,502
779,35,2,2,312,24
780,35,2,2,314,1
781,15,2,8,82,6
782,15,1,8,203,120
783,11,1,8,170,1
784,35,2,2,312,12
785,35,2,2,315,4
786,35,2,2,312,32
787,50,1,2,376,1
788,35,1,2,301,1
789,15,2,8,203,8
790,15,2,8,203,14
791,38,2,2,317,8
792,35,2,2,312,3
793,11,1,8,195,1
794,11,1,8,203,9
795,20,1,8,219,1
796,15,1,8,203,12
797,35,2,2,315,64
798,15,2,8,203,28
799,35,2,2,312,3
800,35,2,2,312,1
801,35,4,2,301,7
802,15,1,8,203,32
803,11,1,8,202,2
804,35,1,2,301,1
805,11,1,8,207,7
806,11,1,8,202,10
807,45,1,2,376,5
808,35,2,2,312,20
809,35,1,2,301,2
810,54,4,2,362,2
811,35,2,2,313,4
812,11,1,8,109,364
813,11,1,8,157,7
814,11,1,8,202,15
815,35,2,2,312,4
816,11,1,8,170,5
817,11,2,8,81,1
818,15,2,8,82,2
819,15,2,8,82,14
820,11,1,8,195,2
821,15,2,8,203,33
822,35,2,2,315,207
823,50,1,2,374,5
824,11,4,8,170,1
825,38,4,2,317,1
826,35,2,2,312,17
827,35,1,2,301,1
828,15,2,8,203,7
829,35,2,2,313,50
830,35,2,2,313,76
831,35,2,2,315,3
832,35,2,2,312,1
833,15,2,8,203,8
834,50,1,2,376,2
835,20,1,8,219,13
836,35,4,2,312,1
837,35,2,2,312,16
838,15,2,8,82,12
839,11,1,8,201,3
840,10,4,3,154,1
841,11,1,8,170,2
842,35,2,2,315,68
843,45,1,2,378,4
844,54,4,2,362,3
845,15,1,8,203,55
846,15,2,8,203,8
847,11,1,8,209,1
848,11,1,8,195,16
849,35,1,2,312,13
850,15,1,8,203,17
851,35,2,2,312,3
852,35,2,2,315,6
853,35,2,2,312,16
854,54,1,8,201,9
855,15,1,8,203,28
856,35,2,2,312,2
857,10,5,3,153,1
858,11,1,8,54,2
859,35,1,2,301,2
860,11,1,8,170,3
861,14,1,8,170,9
862,11,1,8,170,12
863,15,1,8,168,7
864,11,1,8,195,18
865,54,1,8,306,1
866,11,4,8,167,1
867,35,2,8,312,1
868,35,2,2,312,44
869,35,4,2,312,1
870,35,2,2,312,1
871,35,2,2,312,22
872,15,2,8,203,10
873,15,1,8,201,8
874,15,1,8,203,115
875,11,1,8,205,4
876,35,2,2,312,28
877,13,1,8,345,3
878,11,2,8,62,1
879,35,2,2,312,9
880,15,1,8,193,14
881,11,2,8,73,1
882,10,5,3,37,1
883,11,2,8,54,2
884,35,1,8,354,2
885,35,2,2,313,5
886,15,1,8,193,4
887,35,2,2,315,4
888,10,4,3,153,2
889,35,2,2,314,141
890,54,1,8,203,14
891,35,2,2,315,6
892,35,2,2,312,1
893,15,1,8,203,30
894,15,2,8,82,6
895,35,2,2,301,2
896,11,1,8,171,1
897,35,2,2,313,61
898,35,4,2,313,1
899,35,2,2,315,37
900,11,4,8,155,2
901,15,2,8,203,56
902,15,2,8,203,4
903,15,2,8,203,8
904,11,1,8,68,1
905,15,1,8,203,53
906,11,1,8,209,9
907,15,2,8,82,10
908,54,1,8,203,30
909,11,2,8,171,3
910,15,1,8,201,6
911,44,1,2,376,42
912,11,1,8,202,4
913,35,2,2,314,31
914,14,2,8,170,1
915,11,1,8,191,4
916,35,2,2,314,1
917,35,2,2,312,3
918,35,2,2,308,1
919,35,1,2,314,16
920,35,2,2,312,2
921,11,1,8,195,6
922,23,1,7,306,3
923,35,2,2,314,1
924,15,1,8,203,10
925,35,2,2,312,1
926,24,1,2,318,2
927,11,1,8,171,1
928,11,1,8,195,50
929,35,2,2,312,5
930,11,1,8,195,12
931,35,4,2,312,1
932,35,2,2,313,23
933,24,1,8,318,2
934,35,2,2,312,2
935,54,1,8,203,29
936,35,4,2,358,2
937,15,1,8,172,34
938,15,2,8,82,2
939,15,2,8,203,10
940,23,4,7,306,1
941,35,1,8,312,3
942,35,2,2,312,22
943,35,4,2,312,1
944,35,2,2,315,5
945,35,2,2,310,22
946,35,1,2,301,1
947,15,2,8,203,8
948,11,1,8,170,6
949,11,1,8,204,1
950,35,2,2,315,7
951,50,1,2,289,1
952,13,1,8,345,11
953,10,4,3,154,1
954,23,1,8,306,1
955,35,1,2,301,1
956,11,1,8,201,5
957,15,2,8,82,4
958,35,2,2,313,2
959,11,1,8,170,3
960,15,1,8,201,45
961,11,1,8,170,155
962,35,2,2,315,3
963,20,1,8,219,1
964,11,1,8,195,4
965,15,1,8,203,16
966,35,2,2,315,103
967,44,1,2,376,6
968,35,1,2,301,1
969,18,1,10,328,2
970,35,1,2,301,2
971,35,2,2,315,5
972,20,1,2,219,1
973,35,2,2,312,13
974,35,2,2,310,12
975,11,2,8,195,4
976,35,2,2,312,1
977,54,1,8,203,8
978,23,2,8,306,2
979,15,2,8,82,4
980,35,2,2,312,8
981,14,2,8,68,1
982,11,4,8,54,2
983,35,2,2,315,156
984,35,2,2,312,8
985,11,1,8,195,6
986,15,1,8,201,7
987,14,1,8,163,6
988,11,1,8,202,13
989,27,4,9,240,2
990,35,2,2,315,2
991,11,1,8,195,4
992,11,1,8,195,3
993,11,2,8,44,4
994,26,1,9,349,8
995,15,2,8,82,30
996,35,2,2,312,3
997,23,1,8,306,3
998,11,1,8,195,6
999,15,2,8,203,4
1000,11,1,8,170,4
1001,20,1,2,219,2
1002,11,1,8,171,11
1003,35,2,2,312,12
1004,13,1,8,273,1
1005,11,1,8,170,1
1006,11,1,8,54,2
1007,11,1,8,80,1
1008,11,1,8,171,2
1009,20,1,2,219,1
1010,24,1,2,318,1
1011,35,4,2,315,2
1012,35,2,2,313,2
1013,35,1,2,312,6
1014,35,1,2,312,14
1015,14,2,8,68,2
1016,35,2,2,312,2
1017,35,4,2,301,1
1018,15,2,8,203,14
1019,35,2,2,312,2
1020,35,2,2,312,2
1021,35,2,2,312,42
1022,13,1,8,345,4
1023,11,1,8,191,5
1024,35,4,2,314,1
1025,22,1,8,303,1
1026,11,2,8,197,4
1027,35,2,2,313,2
1028,35,1,2,301,1
1029,35,2,2,310,31
1030,11,2,8,207,2
1031,15,2,8,203,24
1032,35,2,2,313,2
1033,35,2,2,315,1
1034,11,2,8,177,1
1035,54,1,8,162,2
1036,54,1,8,196,1
1037,35,2,2,312,21
1038,35,2,2,312,1
1039,15,1,8,203,15
1040,35,2,2,313,1
1041,15,2,8,203,22
1042,35,2,2,312,3
1043,23,2,8,306,25
1044,23,4,7,306,1
1045,11,2,8,195,8
1046,11,2,8,195,2
1047,35,2,2,313,33
1048,15,2,8,201,2
1049,35,2,2,313,2
1050,13,1,8,273,2
1051,35,2,2,310,33
1052,15,2,8,193,5
1053,11,1,8,54,2
1054,11,1,8,68,2
1055,35,2,2,312,29
1056,54,1,8,193,12
1057,24,1,4,318,1
1058,35,2,2,312,1
1059,35,2,2,315,3
1060,11,1,8,87,1
1061,15,2,8,203,24
1062,11,2,8,170,1
1063,14,1,8,170,5
1064,15,1,8,203,22
1065,15,2,8,203,88
1066,35,2,2,315,2
1067,35,2,2,315,8
1068,11,1,8,170,2
1069,35,2,2,315,5
1070,11,1,8,51,1
1071,35,2,2,312,3
1072,15,2,8,203,8
1073,15,2,8,203,84
1074,13,1,8,273,1
1075,35,2,2,312,7
1076,15,1,8,172,50
1077,35,2,2,312,3
1078,11,1,8,191,6
1079,35,2,2,312,2
1080,11,1,8,171,8
1081,35,2,2,315,11
1082,15,1,8,203,92
1083,35,2,2,315,81
1084,11,2,8,55,1
1085,35,2,2,315,131
1086,11,1,8,87,2
1087,15,2,8,82,6
1088,54,1,8,82,4
1089,35,2,2,312,5
1090,35,2,2,312,1
1091,54,1,8,306,1
1092,32,4,8,280,2
1093,34,2,2,232,1
1094,35,2,2,312,4
1095,11,2,8,170,1
1096,11,1,8,171,20
1097,35,2,2,315,4
1098,11,1,8,195,4
1099,35,2,2,313,2
1100,35,2,2,314,21
1101,35,2,2,312,43
1102,15,2,8,203,13
1103,44,2,2,376,2
1104,54,1,8,209,37
1105,35,1,2,301,1
1106,15,1,8,203,6
1107,15,1,8,203,28
1108,35,1,2,312,6
1109,21,1,8,220,1
1110,15,2,8,203,37
1111,11,1,8,170,3
1112,14,1,8,163,7
1113,35,2,2,314,8
1114,35,2,2,312,10
1115,35,2,2,312,23
1116,35,1,2,312,4
1117,11,2,8,68,2
1118,35,2,2,313,1
1119,35,2,2,312,4
1120,11,1,8,195,4
1121,11,1,8,191,5
1122,11,2,8,55,1
1123,11,2,8,68,1
1124,35,2,2,312,2
1125,14,1,8,170,11
1126,15,1,8,203,4
1127,15,2,8,203,13
1128,35,1,2,312,2
1129,35,2,2,312,22
1130,22,1,8,305,2
1131,35,2,2,315,109
1132,11,1,8,191,54
1133,11,1,8,202,4
1134,11,1,8,170,10
1135,11,1,8,170,6
1136,35,2,2,312,8
1137,13,1,6,345,1
1138,15,1,8,203,12
1139,15,2,8,203,1
1140,54,1,8,203,15
1141,35,2,2,314,8
1142,35,2,2,315,16
1143,11,2,8,195,6
1144,15,1,8,203,24
1145,20,1,2,219,1
1146,15,1,8,172,6
1147,35,2,2,312,5
1148,35,1,2,312,1
1149,50,1,2,374,2
