id,sum_et,sum_st,sum_rt,sum_lf,sum_vol
165,65,1,10,55,1
166,69,2,2,1169,382
167,69,1,10,162,4
168,69,2,2,544,6
169,11,4,8,268,2
170,15,2,8,285,38
171,69,2,2,851,3
172,15,2,8,285,45
173,54,1,2,720,2
174,26,1,8,566,19
175,11,1,8,268,2
176,15,2,8,285,17
177,69,2,2,857,3
178,11,1,8,193,1
179,69,2,2,1172,193
180,20,1,2,353,2
181,15,2,8,285,58
182,11,1,8,224,2
183,24,1,14,341,8
184,26,1,8,679,530
185,55,1,2,654,3
186,11,1,8,264,3
187,26,1,8,80,3
188,69,2,2,1626,6
189,33,1,15,514,6
190,69,2,2,1630,22
191,69,2,2,1078,6
192,11,1,8,224,2
193,20,1,2,353,2
194,35,4,2,312,3
195,20,1,2,134,1
196,11,1,8,283,4
197,35,4,2,312,1
198,89,1,2,1505,11
199,34,2,2,232,1
200,15,2,8,365,18
201,69,2,2,1092,235
202,11,2,8,283,4
203,15,2,8,71,2
204,69,2,2,1640,220
205,90,1,2,1600,61
206,11,1,8,218,3
207,69,2,2,1090,233
208,29,1,18,740,7
209,69,2,2,544,2
210,67,1,17,813,34
211,26,1,8,71,4
212,11,1,8,226,4
213,69,2,2,1090,406
214,48,1,19,516,8
215,359,1,10,4525,101
216,11,1,8,199,6
217,24,1,14,865,8
218,13,1,6,618,6
219,15,2,8,162,11
220,11,1,8,281,4
221,26,1,8,637,32
222,15,2,8,566,10
223,26,1,8,545,8
224,69,1,8,285,12
225,11,1,8,68,12
226,11,1,8,195,1
227,15,2,8,549,67
228,15,2,8,285,15
229,26,1,8,830,48
230,69,2,2,546,3
231,89,1,2,1505,35
232,69,2,2,544,12
233,69,2,2,2166,250
234,13,1,6,345,1
235,69,2,2,1405,49
236,69,2,2,544,60
237,11,1,8,353,18
238,15,2,8,285,79
239,13,1,6,618,2
240,129,2,2,1692,10
241,69,2,2,544,8
242,11,1,8,352,10
243,69,2,2,544,26
244,20,1,2,353,2
245,89,1,2,1431,9
246,11,1,8,160,1
247,15,2,8,285,8
248,69,2,2,1640,26
249,69,2,2,2313,14
250,67,1,23,1133,10
251,69,2,2,1640,12
252,11,1,8,54,2
253,26,1,8,549,124
254,34,1,10,71,2
255,100,1,10,1970,8
256,11,4,8,54,2
257,11,1,8,283,6
258,26,1,8,281,7
259,35,4,2,621,2
260,15,2,8,162,12
261,69,1,10,285,8
262,11,2,8,268,2
263,64,1,10,866,71
264,11,1,8,1051,48
265,11,4,8,224,3
266,11,2,8,268,3
267,15,2,8,285,20
268,11,1,8,201,1
269,11,2,8,73,1
270,69,2,2,1092,69
271,11,1,8,224,14
272,69,2,2,1640,97
273,69,2,2,4188,433
274,69,2,2,544,88
275,15,2,8,549,26
276,69,2,2,1076,99
277,69,2,2,1398,11
278,69,2,2,1080,28
279,35,4,2,312,1
280,69,2,2,548,30
281,69,2,2,1640,14
282,15,2,8,162,5
283,14,1,8,337,11
284,11,1,8,224,7
285,90,1,2,1734,7
286,11,1,8,268,8
287,25,1,12,163,1
288,11,2,8,261,2
289,35,4,2,312,1
290,129,1,2,1983,31
291,26,1,8,285,70
292,69,2,2,1946,320
293,69,2,2,544,2
294,26,1,8,549,34
295,13,1,6,421,3
296,15,2,8,285,37
297,21,1,11,411,23
298,26,1,8,346,9
299,69,2,2,544,13
300,56,2,15,603,4
301,80,1,10,938,406
302,69,2,2,544,2
303,69,2,2,857,162
304,69,2,2,544,17
305,11,1,8,254,2
306,129,1,2,1983,74
307,38,1,18,1058,53
308,11,1,8,471,31
309,48,1,20,761,50
310,15,2,8,285,21
311,75,1,17,650,5
312,11,1,8,507,4
313,11,1,8,224,4
314,69,2,2,544,15
315,25,2,12,419,6
316,26,1,8,218,8
317,89,1,2,1505,9
318,69,2,2,544,12
319,11,1,8,544,16
320,26,1,8,657,142
321,15,2,8,285,4
322,15,2,8,356,27
323,15,2,8,285,12
324,11,2,8,55,1
325,26,1,8,436,31
326,69,2,2,1090,7
327,69,2,2,544,42
328,20,1,2,353,2
329,15,2,8,285,66
330,69,2,2,1164,4
331,69,2,2,544,40
332,69,2,2,544,236
333,24,1,14,341,2
334,56,2,15,800,6
335,69,2,2,544,8
336,21,2,11,283,8
337,11,1,8,224,5
338,54,4,2,722,2
339,90,1,21,1341,8
340,26,1,8,285,47
341,69,2,2,1640,28
342,15,2,8,285,70
343,69,2,2,546,14
344,69,2,2,4101,250
345,129,1,2,1983,36
346,11,1,8,268,7
347,80,2,10,949,6
348,26,1,8,285,19
349,69,2,2,544,10
350,11,1,8,268,5
351,69,2,2,851,5
352,69,2,2,1947,55
353,69,2,2,1624,372
354,69,2,2,1012,4
355,26,1,8,285,16
356,89,1,2,875,10
357,129,1,2,1983,86
358,11,1,8,281,2
359,11,1,8,54,2
360,15,2,8,285,14
361,69,2,2,544,6
362,69,2,2,544,2
363,26,1,8,264,10
364,69,2,2,544,2
365,15,2,8,264,4
366,54,1,17,734,7
367,24,1,14,341,2
368,69,2,2,857,3
369,11,1,8,224,4
370,69,2,2,544,2
371,20,1,2,134,2
372,26,1,8,363,5
373,15,2,8,285,16
374,69,2,2,1078,6
375,26,1,8,633,124
376,15,2,8,285,27
377,11,1,8,261,9
378,15,2,8,566,15
379,26,1,8,216,291
380,69,2,2,1642,36
381,11,1,8,172,2
382,69,2,2,544,6
383,23,4,7,306,2
384,69,2,2,1078,4
385,26,1,8,549,42
386,26,1,8,635,72
387,65,2,10,226,2
388,69,2,2,1640,28
389,15,2,8,153,5
390,69,2,2,544,8
391,69,2,2,1320,8
392,15,2,8,138,3
393,129,1,2,1608,7
394,11,1,8,377,25
395,26,1,8,549,22
396,15,2,8,285,23
397,11,1,8,199,4
398,65,1,10,226,3
399,26,1,8,285,11
400,11,1,8,224,5
401,11,1,8,261,6
402,20,1,2,353,3
403,129,1,2,1693,25
404,35,4,2,628,2
405,69,2,2,544,37
406,103,1,27,1660,11
407,55,1,2,1273,8
408,20,1,2,353,2
409,26,1,8,264,5
410,69,2,2,544,9
411,26,1,8,830,33
412,24,1,14,341,6
413,43,1,8,1041,20
414,24,1,14,865,7
415,11,1,8,511,42
416,26,1,8,549,27
417,56,2,15,603,4
418,69,2,2,1640,45
419,26,1,8,285,12
420,56,1,15,1126,8
421,11,1,8,268,15
422,69,2,2,546,2
423,15,2,8,80,1
424,69,2,2,1630,50
425,69,2,2,544,6
426,69,2,2,1624,20
427,69,2,2,548,32
428,77,1,15,529,2
429,11,1,8,268,106
430,26,1,8,356,57
431,20,1,2,353,2
432,69,2,2,544,13
433,89,1,2,2380,9
434,69,2,2,1947,329
435,69,2,2,544,4
436,69,2,2,544,10
437,11,1,8,281,2
438,15,2,8,356,50
439,24,1,2,557,2
440,55,1,2,654,3
441,26,1,8,1104,130
442,21,2,11,209,4
443,89,1,2,1198,14
444,69,2,2,1076,8
445,11,1,8,468,8
446,24,1,14,497,3
447,89,1,2,875,4
448,26,1,8,549,59
449,26,1,8,71,9
450,69,2,2,1630,249
451,42,1,24,903,6
452,15,2,8,285,8
453,11,2,8,54,5
454,15,2,8,82,4
455,69,2,2,1408,8
456,35,4,2,619,6
457,86,1,2,1318,52
458,129,1,2,1983,247
459,69,2,2,1640,16
460,15,2,8,285,23
461,25,1,12,890,42
462,26,1,8,830,32
463,69,2,2,544,4
464,15,2,8,233,24
465,15,2,8,285,58
466,11,1,8,224,5
467,26,1,8,285,52
468,69,2,2,544,5
469,69,2,2,1076,128
470,48,2,19,360,2
471,11,1,8,56,1
472,69,2,2,1325,21
473,15,2,8,285,19
474,69,2,2,544,10
475,20,1,2,353,6
476,26,1,8,823,97
477,15,2,8,285,25
478,15,2,8,285,18
479,11,1,8,254,2
480,42,2,2,283,1
481,11,1,8,556,29
482,20,1,2,219,1
483,69,2,2,544,2
484,26,1,8,545,16
485,11,2,8,261,4
486,26,1,8,549,22
487,11,1,8,377,67
488,35,4,2,301,2
489,11,2,8,226,2
490,69,2,2,1937,79
491,26,1,8,316,5
492,11,2,8,224,2
493,69,2,2,544,13
494,77,3,2,376,154
495,15,2,8,285,20
496,69,2,2,1076,96
497,69,2,2,1078,10
498,11,1,8,82,2
499,129,1,2,1983,50
500,35,4,2,312,1
501,69,2,2,1066,6
502,66,1,10,1247,6
503,15,2,8,285,25
504,26,1,8,285,21
505,15,2,8,82,14
506,11,1,8,224,25
507,129,4,2,1119,6
508,11,1,8,181,1
509,11,1,8,261,3
510,11,2,8,73,1
511,69,2,2,544,32
512,69,2,2,544,2
513,26,1,8,566,31
514,69,2,2,1078,4
515,69,2,2,550,4
516,69,2,2,544,22
517,26,1,8,657,325
518,55,1,2,526,2
519,69,2,2,1012,4
520,15,2,8,549,102
521,69,2,2,1695,12
522,137,1,10,2353,15
523,11,1,8,224,45
524,69,2,2,1626,6
525,24,1,14,520,5
526,24,1,14,341,12
527,26,1,8,264,9
528,26,1,8,830,73
529,11,1,8,70,4
530,86,1,2,1318,38
531,69,2,2,2166,239
532,11,1,8,268,2
533,35,4,2,312,1
534,69,2,2,522,3
535,24,1,14,497,3
536,69,2,2,544,22
537,24,1,14,592,5
538,29,1,18,324,2
539,26,1,8,549,28
540,11,1,8,268,17
541,69,2,2,857,15
542,22,4,7,525,2
543,15,2,8,285,18
544,11,1,8,224,2
545,25,2,12,224,8
546,11,1,8,238,3
547,69,2,2,544,31
548,69,2,2,544,2
549,69,2,2,4733,576
550,11,1,8,224,13
551,69,2,2,1096,50
552,11,1,8,170,1
553,26,1,8,285,53
554,11,1,8,374,5
555,15,2,8,285,38
556,11,1,8,68,8
557,69,2,2,544,3
558,11,1,8,170,4
559,35,4,2,94,1
560,15,2,8,82,34
561,86,1,2,1563,529
562,69,2,2,1640,34
563,347,1,2,4962,160
564,11,2,8,268,6
565,11,1,8,283,8
566,15,2,8,566,22
567,26,1,8,830,66
568,42,1,24,611,3
569,69,2,2,1152,5
570,11,1,8,224,3
571,24,1,14,1035,18
572,69,2,2,544,8
573,69,2,2,1624,18
574,11,2,8,239,2
575,11,1,8,224,10
576,69,2,2,544,5
577,69,2,2,546,13
578,11,1,8,170,473
579,69,2,2,2720,92
580,69,2,2,1090,12
581,15,2,8,80,1
582,15,2,8,285,8
583,50,1,2,289,1
584,11,1,8,283,7
585,15,2,8,82,4
586,11,1,8,63,1
587,24,1,14,865,16
588,26,1,8,566,20
589,11,1,8,224,13
590,15,2,8,281,5
591,69,2,2,2174,51
592,52,1,11,902,32
593,15,2,8,285,5
594,15,2,8,549,35
595,15,2,8,285,61
596,19,1,10,494,14
597,11,1,8,224,4
598,69,2,2,1947,22
599,20,1,2,134,1
600,69,2,2,1096,13
601,74,1,2,353,4
602,15,2,8,51,1
603,69,2,2,3567,122
604,69,2,2,1923,9
605,15,2,8,82,5
606,26,1,8,549,25
607,51,2,10,194,1
608,15,2,8,365,16
609,69,2,2,544,2
610,24,1,14,865,8
611,11,1,8,292,5
612,69,2,2,544,2
613,69,2,2,1408,11
614,69,2,2,1624,11
615,69,2,2,544,8
616,11,1,8,381,14
617,79,1,35,2177,10
618,69,2,2,3796,440
619,11,1,8,226,16
620,26,1,8,285,136
621,25,1,12,210,8
622,56,2,15,800,4
623,15,2,8,82,19
624,34,2,2,459,2
625,11,1,8,1181,16
626,69,2,2,4896,718
627,26,1,8,281,4
628,15,2,8,68,4
629,80,1,8,356,14
630,69,2,2,544,10
631,26,1,8,830,48
632,11,1,8,293,3
633,69,2,2,544,25
634,26,1,8,264,15
635,26,1,8,346,103
636,69,2,2,544,2
637,35,4,2,628,2
638,69,2,2,2172,12
639,29,1,9,349,8
640,24,1,14,910,10
641,46,2,10,568,3
642,65,1,10,224,4
643,15,2,8,365,83
644,69,2,2,544,10
645,93,1,2,569,459
646,69,2,2,1634,44
647,15,2,8,285,12
648,69,2,2,1078,11
649,69,2,2,544,2
650,11,1,8,54,1
651,69,2,2,544,9
652,11,1,8,53,1
653,80,1,10,281,5
654,11,1,8,224,2
655,11,1,8,433,5
656,69,2,2,1076,103
657,129,1,2,1983,122
658,116,1,19,1022,22
659,35,4,2,312,1
660,69,2,2,1479,8
661,42,1,24,946,7
662,69,2,2,544,78
663,69,1,10,566,43
664,26,1,8,566,32
665,15,2,8,566,16
666,55,1,2,654,3
667,69,2,2,1405,91
668,69,2,2,544,2
669,69,2,2,544,6
670,26,1,8,218,3
671,35,4,2,312,1
672,69,2,2,544,2
673,15,2,8,285,17
674,20,1,2,353,2
675,15,2,8,356,12
676,11,1,8,461,12
677,20,1,2,353,2
678,69,2,2,1624,8
679,26,1,8,356,24
680,69,2,2,544,116
681,11,1,8,261,11
682,69,2,2,544,14
683,11,1,8,226,3
684,26,1,8,285,55
685,26,1,8,392,92
686,11,1,8,261,6
687,86,1,2,1318,18
688,69,2,2,544,183
689,86,1,2,1318,24
690,11,1,8,224,2
691,15,2,8,281,5
692,80,1,10,264,19
693,69,1,10,566,19
694,65,1,10,224,6
695,11,1,8,268,3
696,15,2,8,566,25
697,86,1,2,1318,51
698,26,1,8,549,72
699,26,1,8,777,21
700,11,1,8,170,2
701,11,1,8,544,10
702,20,1,9,434,17
703,69,2,2,1640,14
704,23,4,7,306,2
705,32,4,8,280,2
706,11,1,8,551,10
707,69,2,2,544,4
708,15,2,8,285,36
709,11,1,8,87,1
710,15,2,8,285,16
711,31,1,10,188,5
712,20,1,2,353,4
713,69,2,2,2172,12
714,26,1,8,264,5
715,69,2,2,544,21
716,129,1,2,1693,20
717,35,4,2,628,2
718,80,2,10,655,82
719,26,1,8,777,37
720,69,2,2,544,2
721,15,2,8,82,14
722,26,1,8,281,5
723,55,1,2,654,4
724,69,2,2,1640,385
725,26,1,8,281,12
726,20,1,2,353,3
727,69,2,2,544,45
728,11,1,8,270,4
729,24,1,14,842,6
730,34,2,15,384,2
731,89,1,2,1505,30
732,25,2,12,54,2
733,11,1,8,224,39
734,69,2,2,1405,8
735,69,2,2,1090,10
736,69,1,8,82,34
737,26,1,8,549,163
738,20,1,2,353,2
739,15,2,8,71,8
740,69,2,2,1628,8
741,11,1,8,377,3
742,26,1,8,346,11
743,11,1,8,54,1
744,20,1,2,353,2
745,69,2,2,1078,4
746,11,1,8,68,1
747,69,2,2,544,2
748,11,1,8,224,21
749,89,1,2,678,7
750,11,1,8,224,12
751,15,2,8,285,14
752,80,1,10,549,20
753,11,1,8,73,2
754,11,1,8,224,2
755,69,2,2,1640,23
756,69,2,2,1080,6
757,11,2,8,55,1
758,25,2,12,68,2
759,271,1,2,1816,549
760,11,1,8,224,8
761,21,1,11,529,4
762,11,1,8,54,1
763,69,2,2,544,4
764,11,2,8,268,9
765,56,1,15,1024,36
766,69,2,2,1947,11
767,69,2,2,548,15
768,69,2,2,1096,7
769,129,1,2,1983,64
770,11,1,8,224,9
771,14,1,8,627,19
772,15,2,8,285,15
773,179,1,2,2065,6
774,69,2,2,544,14
775,11,1,8,544,36
776,11,2,8,283,8
777,41,1,17,546,8
778,11,1,8,170,857
779,69,2,2,544,48
780,69,2,2,1705,6
781,15,2,8,82,6
782,26,1,8,285,156
783,11,1,8,170,1
784,69,2,2,544,23
785,69,2,2,2720,19
786,69,2,2,544,63
787,179,1,2,1897,6
788,56,1,2,656,3
789,15,2,8,285,13
790,15,2,8,285,18
791,38,2,2,555,10
792,69,2,2,544,6
793,11,1,8,268,2
794,11,1,8,566,21
795,31,1,10,649,4
796,26,1,8,566,25
797,69,2,2,2174,169
798,15,2,8,285,30
799,69,2,2,1078,10
800,69,2,2,544,2
801,35,4,2,301,7
802,26,1,8,549,49
803,11,1,8,509,7
804,89,1,2,656,3
805,11,1,8,761,17
806,19,1,10,497,20
807,174,1,2,2276,20
808,69,2,2,544,38
809,55,1,2,654,4
810,54,4,2,722,4
811,69,2,2,1090,12
812,11,1,8,206,678
813,11,1,8,199,12
814,11,1,8,283,27
815,69,2,2,544,8
816,11,1,8,224,8
817,11,2,8,81,1
818,15,2,8,233,6
819,15,2,8,82,14
820,11,1,8,268,3
821,15,2,8,365,35
822,69,2,2,550,398
823,50,1,2,663,7
824,11,4,8,224,2
825,38,4,2,317,1
826,69,2,2,544,34
827,89,1,2,875,4
828,15,2,8,285,10
829,69,2,2,1397,158
830,69,2,2,1090,239
831,69,2,2,1715,10
832,69,2,2,544,2
833,15,2,8,285,14
834,179,1,2,2356,10
835,40,1,10,1144,27
836,35,4,2,312,1
837,69,2,2,544,32
838,15,2,8,82,12
839,11,1,8,281,5
840,10,4,3,193,2
841,11,1,8,224,3
842,69,2,2,3573,431
843,174,1,2,2364,20
844,54,4,2,722,5
845,26,1,8,629,95
846,15,2,8,285,12
847,13,1,8,433,4
848,11,1,8,377,18
849,89,1,2,1519,29
850,26,1,8,365,30
851,69,2,2,544,4
852,69,2,2,1405,18
853,69,2,2,544,32
854,80,1,10,509,16
855,26,1,8,566,74
856,69,2,2,1078,5
857,10,5,3,153,1
858,11,1,8,54,2
859,89,1,2,875,5
860,11,1,8,224,4
861,25,1,12,224,16
862,11,1,8,170,12
863,26,1,8,291,14
864,11,1,8,268,20
865,88,1,17,583,3
866,11,4,8,218,2
867,80,2,10,1376,7
868,69,2,2,544,87
869,35,4,2,312,1
870,69,2,2,544,2
871,69,2,2,1078,44
872,15,2,8,566,23
873,28,1,8,420,14
874,26,1,8,285,157
875,11,1,8,376,5
876,69,2,2,544,52
877,24,1,14,1089,11
878,11,2,8,62,1
879,69,2,2,544,18
880,26,1,8,264,23
881,11,2,8,73,1
882,10,5,3,37,1
883,11,2,8,54,2
884,80,1,10,1771,10
885,69,2,2,1090,14
886,26,1,8,264,6
887,69,2,2,1640,14
888,10,4,3,192,4
889,69,2,2,3020,449
890,80,1,8,549,23
891,69,2,2,1640,22
892,69,2,2,544,2
893,26,1,8,513,59
894,15,2,8,162,7
895,69,2,2,522,3
896,11,1,8,226,2
897,69,2,2,1090,158
898,35,4,2,932,3
899,69,2,2,1640,159
900,11,4,8,195,3
901,15,2,8,549,90
902,15,2,8,285,5
903,15,2,8,285,11
904,11,1,8,123,2
905,26,1,8,941,111
906,11,1,8,296,15
907,15,2,8,82,10
908,69,1,10,356,42
909,11,2,8,226,4
910,26,1,8,627,16
911,129,1,2,1983,182
912,11,1,8,283,6
913,69,2,2,1630,109
914,25,2,12,170,1
915,11,1,8,261,6
916,69,2,2,2164,8
917,69,2,2,544,6
918,69,2,2,536,2
919,89,1,2,901,33
920,69,2,2,544,3
921,11,1,8,268,9
922,43,1,9,882,6
923,69,2,2,1630,6
924,26,1,8,549,23
925,69,2,2,544,2
926,24,1,2,557,4
927,11,1,8,226,2
928,11,1,8,268,99
929,69,2,2,1078,11
930,11,1,8,268,19
931,35,4,2,619,2
932,69,2,2,1090,73
933,35,1,10,781,7
934,69,2,2,1078,6
935,69,1,8,285,33
936,35,4,2,358,2
937,26,1,8,390,45
938,15,2,8,153,3
939,15,2,8,285,15
940,23,4,7,306,1
941,80,1,10,1186,10
942,69,2,2,544,40
943,35,4,2,312,1
944,69,2,2,1640,20
945,69,2,2,1076,82
946,55,1,2,435,2
947,15,2,8,285,16
948,11,1,8,292,12
949,11,1,8,355,3
950,69,2,2,1640,25
951,50,1,2,289,1
952,24,1,14,804,14
953,10,4,3,154,1
954,34,1,15,637,3
955,55,1,2,654,3
956,11,1,8,281,9
957,15,2,8,138,5
958,69,2,2,1090,6
959,11,1,8,238,5
960,26,1,8,434,53
961,11,1,8,292,188
962,69,2,2,1096,9
963,31,1,10,534,3
964,11,1,8,268,6
965,26,1,8,566,56
966,69,2,2,1640,336
967,129,1,2,1983,27
968,89,1,2,875,4
969,18,1,10,328,2
970,55,1,2,654,5
971,69,2,2,1405,18
972,20,1,2,353,2
973,69,2,2,544,26
974,69,2,2,1076,42
975,11,2,8,268,5
976,69,2,2,544,2
977,69,1,10,365,13
978,48,2,19,583,5
979,15,2,8,162,5
980,69,2,2,1066,19
981,25,2,12,68,1
982,11,4,8,54,2
983,69,2,2,550,236
984,69,2,2,544,14
985,11,1,8,268,10
986,26,1,8,281,13
987,25,1,12,210,7
988,11,1,8,283,25
989,37,4,12,547,4
990,69,2,2,1405,6
991,11,1,8,268,7
992,11,1,8,268,6
993,11,2,8,44,4
994,52,1,17,889,13
995,15,2,8,82,30
996,69,2,2,544,5
997,56,1,15,1055,10
998,11,1,8,268,12
999,15,2,8,356,8
1000,11,1,8,292,7
1001,20,1,2,353,4
1002,11,1,8,226,20
1003,69,2,2,544,24
1004,24,1,14,520,3
1005,11,1,8,224,2
1006,11,1,8,54,2
1007,11,1,8,80,1
1008,11,1,8,226,4
1009,20,1,2,219,1
1010,24,1,2,557,2
1011,35,4,2,628,3
1012,69,2,2,1090,6
1013,89,1,2,897,13
1014,89,1,2,897,29
1015,25,2,12,122,3
1016,69,2,2,544,4
1017,35,4,2,301,1
1018,15,2,8,566,28
1019,69,2,2,544,4
1020,69,2,2,1078,5
1021,69,2,2,544,80
1022,24,1,14,865,12
1023,11,1,8,487,18
1024,35,4,2,935,3
1025,33,1,15,599,3
1026,11,2,8,272,6
1027,69,2,2,1624,7
1028,55,1,2,654,3
1029,69,2,2,1076,107
1030,11,2,8,517,5
1031,15,2,8,356,27
1032,69,2,2,546,3
1033,69,2,2,550,2
1034,11,2,8,237,2
1035,119,1,14,262,4
1036,65,1,10,270,2
1037,69,2,2,544,41
1038,69,2,2,544,2
1039,26,1,8,660,31
1040,69,2,2,546,2
1041,15,2,8,285,29
1042,69,2,2,544,6
1043,56,2,15,1164,53
1044,23,4,7,529,2
1045,11,2,8,268,13
1046,11,2,8,268,3
1047,69,2,2,1090,71
1048,15,2,8,281,3
1049,69,2,2,857,5
1050,24,1,14,520,5
1051,69,2,2,1076,122
1052,15,2,8,264,10
1053,11,1,8,54,2
1054,11,1,8,68,2
1055,69,2,2,1078,62
1056,80,1,8,346,14
1057,38,1,6,318,1
1058,69,2,2,1078,4
1059,69,2,2,2172,18
1060,11,1,8,155,2
1061,15,2,8,285,37
1062,11,2,8,224,2
1063,25,1,12,292,11
1064,26,1,8,566,34
1065,15,2,8,285,123
1066,69,2,2,1640,7
1067,69,2,2,1640,31
1068,11,1,8,170,2
1069,69,2,2,1408,10
1070,11,1,8,51,1
1071,69,2,2,544,6
1072,15,2,8,285,14
1073,15,2,8,285,111
1074,24,1,14,341,2
1075,69,2,2,544,12
1076,26,1,8,228,99
1077,69,2,2,544,6
1078,11,1,8,261,11
1079,69,2,2,544,3
1080,11,1,8,226,16
1081,69,2,2,1096,34
1082,26,1,8,549,119
1083,69,2,2,1640,348
1084,11,2,8,55,1
1085,69,2,2,1405,346
1086,11,1,8,87,2
1087,15,2,8,153,7
1088,69,1,8,82,4
1089,69,2,2,544,10
1090,69,2,2,544,2
1091,77,1,15,531,2
1092,32,4,8,280,2
1093,34,2,2,459,2
1094,69,2,2,544,7
1095,11,2,8,170,1
1096,11,1,8,226,39
1097,69,2,2,1642,10
1098,11,1,8,268,8
1099,69,2,2,546,4
1100,69,2,2,3019,57
1101,69,2,2,1078,76
1102,15,2,8,285,22
1103,129,2,2,1409,6
1104,67,1,10,572,64
1105,55,1,2,654,3
1106,26,1,8,549,15
1107,26,1,8,436,36
1108,89,1,2,1732,16
1109,32,1,10,536,3
1110,15,2,8,285,51
1111,11,1,8,170,3
1112,25,1,12,210,12
1113,69,2,2,861,16
1114,69,2,2,851,20
1115,69,2,2,544,33
1116,55,1,2,1273,20
1117,11,2,8,68,2
1118,69,2,2,1090,4
1119,69,2,2,544,7
1120,11,1,8,268,8
1121,11,1,8,342,11
1122,11,2,8,55,1
1123,11,2,8,68,1
1124,69,2,2,1078,6
1125,25,1,12,224,13
1126,26,1,8,794,12
1127,15,2,8,285,15
1128,89,1,2,1198,6
1129,69,2,2,544,43
